Region,Site,Layer/Assemblage/Context,Culture,Lab code,ProjCode,date,error,Material,Species,Marine?,ΔR,ΔR error,% marine,Cal. BC 1 sigma,Cal. BC 1 sigma,Cal. BC 2 sigma,Cal. BC 2 sigma,Latitude,Longitude,Notes,reference
Sicily,Grotta dell'Uzzo,F-13,Mesolithic,MAMS-40726,1,"7,471",90,Bone,Homo sapiens,partly,,,40,6211-6011,,6340-6294  ,,12.786510,38.110100,,Yu et al 2022
Sicily,Grotta dell'Uzzo,u-rim,Mesolithic,MAMS-40721,2,"7,807",90,Bone,Homo sapiens,partly,,,45,6470- 6323,6321- 6262  ,6631- 6625 ,6604- 6175,12.786510,38.110100,,Yu et al 2022
Sicily,Grotta dell'Uzzo,u-rim,Mesolithic,MAMS-40719,3,"7,809",90,Bone,Homo sapiens,partly,,,50,6448- 6250     ,,6574- 6158  ,6139- 6105 ,12.786510,38.110100,,Yu et al 2022
Sicily,Grotta dell'Uzzo,u-rim,Mesolithic,MAMS-40720,4,"7,809",90,Bone,Homo sapiens,partly,,,50,6448- 6250     ,,6574- 6158  ,6139- 6105 ,12.786510,38.110100,,Yu et al 2022
Sicily,Grotta dell'Uzzo,M-3,Mesolithic,MAMS-40711,5,"7,848",90,Bone,Homo sapiens,partly,,,50,6482- 6323   ,6320- 6264   ,6638- 6210   ,,12.786510,38.110100,,Yu et al 2022
Sicily,Grotta d'Oriente,,Mesolithic,OxA-14256,6,"8,159",90,Shell,Monodonta turbinata,yes,88,50,,,,,,12.294860,37.927970,,Mannino & Thomas 2007
Sicily,Grotta dell'Arco,,Mesolithic,?,7,"8,960",90,shell (marine),,yes,88,50,,,,,,12.786510,38.110100,,Mannino & Thomas 2007
Northern Italy,Grotta dell'Edera,,Mesolithic,GrN-25474,8,"6,480",90,Marine shell,,yes,131,30,,,,,,8.353650,44.172830,,Skeates 2003
Sicily,Grotta dell'Uzzo,,Neolithic,KIA-36033,9,"7,020",90,Bone,Epinephelus ,yes,88,50,,,,,,12.786510,38.110100,,Natali & Forgia 2017
Sicily,Grotta dell'Uzzo,,Neolithic,KIA-36035,10,"6,985",90,Bone,Epinephelus ,yes,88,50,,,,,,12.786510,38.110100,,Natali & Forgia 2017
Sicily,Grotta dell'Uzzo,"Trench F, spit 7",Neolithic,OxA-13808,11,"7,173",90,Shell,Monodonta turbinata,yes,88,50,,,,,,12.786510,38.110100,,Mannino & Thomas 2007
Sicily,Grotta dell'Uzzo,"Trench F, cut 11",Mesolithic,KIA-36032,12,"7,175",90,Bone,Epinephelus ,yes,88,50,,,,,,12.786510,38.110100,,Mannino et al 2015
Sicily,Grotta dell'Uzzo,"Trench F, spit 10",Neolithic,OxA-13661,13,"7,410",90,Shell,Monodonta turbinata,yes,88,50,,,,,,12.786510,38.110100,,Mannino & Thomas 2007
Sicily,Grotta dell'Uzzo,"Trench F, spit 10",Neolithic,OxA-X-2071-31,14,"7,413",90,Shell,Monodonta turbinata,yes,88,50,,,,,,12.786510,38.110100,,Mannino & Thomas 2007
Sicily,Grotta dell'Uzzo,"Trench F, cut 14",Mesolithic,KIA-36034,15,"7,730",90,Bone,Epinephelus ,yes,88,50,,,,,,12.786510,38.110100,,Mannino et al 2015
Sicily,Grotta dell'Uzzo,"Trench F, spit 12",Mesolithic,OxA-13662,16,"7,744",90,shell,marine shell,yes,88,50,,,,,,12.786510,38.110100,,Lo Veto & Martini 2016
Sicily,Grotta dell'Uzzo,"Trench F, cut 12",Mesolithic,MAMS-16238,17,"7,959",90,Bone,Mysticeti,yes,88,50,,,,,,12.786510,38.110100,,Mannino et al 2015
Sicily,Grotta dell'Uzzo,U-mix,Mesolithic,MAMS-16239,18,"8,083",90,Bone,Delphinidae,yes,88,50,,,,,,12.786510,38.110100,,Mannino et al 2015
