aircraft_code,aircraft_description,manufacturer,basic_type,engines,propulsion,wide_body,wing_span,length,weight,capacity,pay_load,cruising_speed,range_miles,pressurized
100,FOKKER 100,FOKKER,100,2,JET,NO,92,117,95000,119,27305,,1502,YES
146,BRITISH AEROSPACE 146 (ALL SERIES,,,,,,,,,,,,,
310,AIRBUS INDUSTRIE A310 (ALL SERIES,,,,,,,,,,,,,
320,AIRBUS INDUSTRIE A320 (ALL SERIES,,,,,,,,,,,,,
727,BOEING 727 PASSENGER (ALL SERIES,,,,,,,,,,,,,
72S,BOEING 727-200 (ALL SERIES,,,,,,,,,,,,,
733,BOEING 737-300,BOEING,737,2,JET,NO,95,110,124500,149,35600,,1860,YES
734,BOEING 737-400,BOEING,737,2,JET,NO,95,120,138500,170,40300,,2487,YES
735,BOEING 737-500,BOEING,737,2,JET,NO,95,102,60554,132,,,2996,YES
737,BOEING 737 PASSENGER (ALL SERIES,,,,,,,,,,,,,
73S,BOEING 737 PASSENGER (ALL 200/200C SERIES,,,,,,,,,,,,,
744,BOEING 747-400 PASSENGER,BOEING,747,4,JET,YES,213,232,800000,592,144000,,8406,YES
747,BOEING 747 PASSENGER (ALL SERIES,,,,,,,,,,,,,
74L,BOEING 747SP,BOEING,747,4,JET,YES,196,185,630000,440,76000,622,7658,YES
74M,BOEING 747 MIXED CONFIGURATION (ALL SERIES,,,,,,,,,,,,,
757,BOEING 757-200 PASSENGER,BOEING,757,2,JET,NO,125,155,220000,239,,593,3247,YES
763,BOEING 767-300/300ER,BOEING,767,2,JET,YES,156,180,300000,290,43200,593,3639,YES
767,BOEING 767 (ALL SERIES,,,,,,,,,,,,,
AB3,AIRBUS INDUSTRIE A300 (ALL SERIES,,,,,,,,,,,,,
AT7,AEROSPATIALE/AERITALIA ATR72,AEROSPATIALE/AERITALIA,ATR72,2,TURBOPROP,NO,89,89,44070,74,15763,286,1657,YES
ATP,BRITISH AEROSPACE ATP,BRITISH AEROSPACE,ATP,2,TURBOPROP,NO,101,85,50550,72,14830,308,2140,YES
ATR,AEROSPATIALE/AERITALIA (ALL SERIES,,,,,,,,,,,,,
BE1,BEECHCRAFT 1900,BEECHCRAFT,1900,2,TURBOPROP,NO,55,58,15245,19,4000,303,860,YES
BE9,BEECHCRAFT C99 AIRLINER,BEECHCRAFT,C99,2,TURBOPROP,NO,46,45,11300,15,3250,286,1048,NO
D10,MCDONNELL DOUGLAS DC10 (ALL SERIES,,,,,,,,,,,,,
D1M,MCDONNELL DOUGLAS DC10 MIXED CONFIGURATION,MCDONNELL DOUGLAS,DC10,3,JET,YES,165,182,590000,380,106550,564,6350,YES
D8S,MCDONNELL DOUGLAS DC8 (ALL 60/70 SERIES,,,,,,,,,,,,,
D9S,MCDONNELL DOUGLAS DC9 (ALL 30/40 & 50 SERIES,,,,,,,,,,,,,
DC9,MCDONNELL DOUGLAS DC9 (ALL 10 & 20 SERIES,,,,,,,,,,,,,
DH7,BOEING CANADA DHC-7 DASH 7 PASSENGER,BOEING CANADA,DHC7,4,TURBOPROP,NO,93,81,44000,54,11310,261,795,YES
DH8,BOEING CANADA DHC-8 DASH 8 (ALL SERIES,,,,,,,,,,,,,
DO8,DORNIER 228,DORNIER,228,2,TURBOPROP,NO,56,54,12566,25,4689,266,834,NO
EM2,EMBRAER EMB-120 BRASILIA,EMBRAER,BRASILIA,2,TURBOPROP,NO,65,66,25353,30,7650,343,1088,YES
F27,FOKKER F27 FRIENDSHIP/FAIRCHILD (ALL SERIES,,,,,,,,,,,,,
F28,FOKKER F28 FELLOWSHIP (ALL SERIES,,,,,,,,,,,,,
J31,BRITISH AEROSPACE JETSTREAM 31,BRITISH AEROSPACE,JETSTREAM,2,TURBOPROP,NO,52,47,15322,19,3980,264,1208,YES
L10,LOCKHEED L1011 (ALL SERIES,,,,,,,,,,,,,
L15,LOCKHEED L1011-500 TRISTAR,LOCKHEED,L1011,3,JET,YES,155,164,496000,400,97037,558,5998,YES
M11,MCDONNELL DOUGLAS MD-11,MCDONNELL DOUGLAS,MD11,3,JET,YES,170,201,602500,400,60000,588,7988,YES
M80,MCDONNELL DOUGLAS (MD-80 SERIES,,,,,,,,,,,,,
SF3,SAAB SF 340,SAAB,SF340,2,TURBOPROP,NO,70,65,28000,35,8087,322,1275,YES
SH6,SHORTS 360,SHORTS,360,2,TURBOPROP,NO,75,71,27100,39,7020,249,732,NO
SWM,FAIRCHILD (SWEARINGEN,,,,,,,,,,,,,
