geneSymbol,cytoband,postive2RNA,negative2RNA,postive2Protein,Negative2Protein,copyNumberStatus,role
SMG5,1q22,337,122,95,95,amplified,likely oncogenic
SMG7,1q25.3,278,55,94,94,amplified,likely oncogenic
ACBD6,1q25.2,297,74,98,98,amplified,likely oncogenic
RASAL2,1q25.2,290,55,108,108,amplified,likely oncogenic
NEK7,1q31.3,278,40,87,87,amplified,likely oncogenic
SRGAP2,1q32.1,279,30,76,76,amplified,likely oncogenic
EPRS,1q41,260,41,68,68,amplified,likely oncogenic
TRIM11,1q42.13,259,48,62,62,amplified,likely oncogenic
SMYD3,1q44,253,31,65,65,amplified,likely oncogenic
RNF115,1q21.1,310,99,93,93,amplified,likely oncogenic
BCL9,1q21.2,341,104,98,98,amplified,oncogenic
ENSA,1q21.3,342,125,124,124,amplified,likely oncogenic
VPS45,1q21.2,338,116,91,91,amplified,likely oncogenic
CTSS,1q21.3,321,111,100,100,amplified,likely oncogenic
RPRD2,1q21.3,334,109,96,96,amplified,likely oncogenic
TARS2,1q21.3,334,109,96,96,amplified,likely oncogenic
TUFT1,1q21.3,339,108,107,107,amplified,likely oncogenic
SNX27,1q21.3,339,108,107,107,amplified,likely oncogenic
POGZ,1q21.3,328,105,105,105,amplified,likely oncogenic
ZNF687,1q21.3,320,106,101,101,amplified,likely oncogenic
PBXIP1,1q21.3,335,112,88,88,amplified,likely oncogenic
MSTO1,1q22,345,128,94,94,amplified,likely oncogenic
ASH1L,1q22,337,114,92,92,amplified,likely oncogenic
PRCC,1q23.1,341,82,87,87,amplified,likely oncogenic
NOS1AP,1q23.3,299,79,108,108,amplified,likely oncogenic
ATF6,1q23.3,299,74,105,105,amplified,likely oncogenic
UCK2,1q24.1,325,98,113,113,amplified,likely oncogenic
POU2F1,1q24.2,318,90,114,114,amplified,likely oncogenic
TIPRL,1q24.2,292,56,111,111,amplified,likely oncogenic
RABGAP1L,1q25.1,291,53,108,108,amplified,likely oncogenic
CACYBP,1q25.1,287,51,108,108,amplified,likely oncogenic
ABL2,1q25.2,293,60,112,112,amplified,oncogenic
DHX9,1q25.3,289,72,101,101,amplified,likely oncogenic
EDEM3,1q25.3,286,49,74,74,amplified,likely oncogenic
CDC73,1q31.2,274,37,79,79,amplified,tumor suppressive
IPO9,1q32.1,272,45,96,96,amplified,likely oncogenic
ELF3,1q32.1,280,39,90,90,amplified,tumor suppressive
ZC3H11A,1q32.1,283,55,75,75,amplified,likely oncogenic
PPP2R5A,1q32.3,235,27,54,54,amplified,likely oncogenic
INTS7,1q32.3,236,27,54,54,amplified,likely oncogenic
