ID,FoldChange.protein,pval.protein,logp.protein,signedlogp.protein,FDR.protein,FoldChange.rna,pval.rna,logp.rna,signedlogp.rna,FDR.rna
A1BG,0.167,0.191844933,0.717049667,0.717049667,0.386948329,0.285,0.197605376,0.704201244,0.704201244,0.387332886
A2M,0.1015,0.571562614,0.242936186,0.242936186,0.746569223,-0.295,0.315996988,0.500317057,-0.500317057,0.521291003
A2ML1,-0.5865,0.136264681,0.865616696,-0.865616696,0.314114472,-0.34,0.248537348,0.60460834,-0.60460834,0.450566256
A4GALT,0.1642,0.61388478,0.211913134,0.211913134,0.774605883,-1.155,4.17E-04,3.380001509,-3.380001509,0.006347949
AAAS,0.364332,1.43E-04,3.845445056,3.845445056,0.00375733,0.18,0.083412271,1.078770053,1.078770053,0.219367467
AACS,-0.37885,0.006374211,2.195573557,-2.195573557,0.04287091,-0.565,0.006928251,2.159376372,-2.159376372,0.040339286
AADAT,-0.41,0.040262162,1.395102905,-1.395102905,0.142639557,-0.85,1.11E-04,3.954729321,-3.954729321,0.002867805
AAED1,0.063,0.367789154,0.434401082,0.434401082,0.573844037,-0.035,0.715768952,0.145227144,-0.145227144,0.846439384
AAGAB,-0.08115,0.442841929,0.353751266,-0.353751266,0.639843469,-0.11,0.515779327,0.287536069,-0.287536069,0.699610413
AAK1,0.1761,0.019795143,1.703441365,1.703441365,0.090842637,0.405,0.001112309,2.953774471,2.953774471,0.011914821
AAMDC,0.022,0.762286965,0.117881506,0.117881506,0.870001455,0.02,0.897477873,0.04697625,0.04697625,0.944542819
AAMP,0.555,0.001355206,2.867994712,2.867994712,0.015310284,0.52,1.16E-04,3.935801113,3.935801113,0.002934761
AAR2,0.4275,5.71E-04,3.243176367,3.243176367,0.008883741,0.455,2.07E-04,3.682994261,3.682994261,0.004163958
AARS,0.1951,0.16994745,0.769685348,0.769685348,0.359427709,0.355,0.116771524,0.932663051,0.932663051,0.273746658
AARS2,0.17045,0.180652236,0.743156659,0.743156659,0.373079974,0.4,2.01E-05,4.695953137,4.695953137,0.001099006
AARSD1,-0.20575,0.115486199,0.937469914,-0.937469914,0.282684394,0.095,0.732548792,0.135163443,0.135163443,0.849447482
AASDHPPT,-0.02055,0.736807363,0.132646043,-0.132646043,0.853409556,0.03,0.991059387,0.00390032,0.00390032,0.996650995
AASS,-0.4555,0.052606986,1.278956581,-1.278956581,0.168876054,-0.24,0.118083609,0.927810383,-0.927810383,0.275728524
AATF,0.70086,1.97E-05,4.70557333,4.70557333,0.001201706,0.92,3.51E-04,3.454522122,3.454522122,0.005731601
ABAT,-0.264,0.107920962,0.966894191,-0.966894191,0.270813906,-0.57,0.047993392,1.318818553,-1.318818553,0.150554622
ABCA8,-0.029,0.431384074,0.365135893,-0.365135893,0.630657489,-1.27,0.018921688,1.723040113,-1.723040113,0.080041838
ABCB1,-0.118,0.50862843,0.293599369,-0.293599369,0.69600831,-0.44,0.583020622,0.234316084,-0.234316084,0.754856056
ABCB10,-0.10015,0.666243284,0.176367156,-0.176367156,0.807754739,-0.015,0.674353772,0.171112209,-0.171112209,0.817204592
ABCB6,-0.1915,0.732587498,0.135140497,-0.135140497,0.850812254,0.455,0.134744037,0.870490445,0.870490445,0.30077043
ABCB7,-0.13555,0.519470774,0.284438881,-0.284438881,0.704607821,0.125,0.215636894,0.666276932,0.666276932,0.409099763
ABCB8,-0.074,0.62999718,0.200661395,-0.200661395,0.785309529,-0.225,0.040876136,1.388530167,-1.388530167,0.13467099
ABCC1,-0.4567,0.028920928,1.538787783,-1.538787783,0.115855172,-0.05,0.670285769,0.173740001,-0.173740001,0.814431808
ABCC10,-0.01888,1,0,0,1,-0.06,0.884195079,0.053451907,-0.053451907,0.93693216
ABCC3,-0.6327,0.001049829,2.978881534,-2.978881534,0.012930848,-1.17,0.005752602,2.240135693,-2.240135693,0.03539903
ABCC4,-0.15405,0.86214468,0.064419847,-0.064419847,0.930418037,0.305,0.048638239,1.31302216,1.31302216,0.151955343
ABCD1,0.5865,0.002026142,2.693330033,2.693330033,0.019843141,0.725,0.003099265,2.508741306,2.508741306,0.023576793
ABCD3,-0.131,0.302696033,0.51899327,-0.51899327,0.509794284,-0.405,0.022269906,1.652281622,-1.652281622,0.088942858
