idx,Log2_variant_per_Mbp,mutation_classification,APP_Z_score,APP_classification,Immune_cluster,Activated_B_cell,Activated_CD4_T_cell,Activated_CD8_T_cell,Central_memory_CD4_T_cell,Central_memory_CD8_T_cell,Effector_memeory_CD4_T_cell,Effector_memeory_CD8_T_cell,Gamma_delta_T_cell,Immature__B_cell,Memory_B_cell,Regulatory_T_cell,T_follicular_helper_cell,Type_1_T_helper_cell,Type_17_T_helper_cell,Type_2_T_helper_cell,Activated_dendritic_cell,CD56bright_natural_killer_cell,CD56dim_natural_killer_cell,Eosinophil,Immature_dendritic_cell,Macrophage,Mast_cell,MDSC,Monocyte,Natural_killer_cell,Natural_killer_T_cell,Neutrophil,Plasmacytoid_dendritic_cell
S001,5.090218957,MB_H,1.284179607,APP_H,MB_H_APP_H,-0.215675812,0.294501115,0.095738754,0.438672984,0.246119723,0.204786084,0.249864769,0.237907867,0.006404337,0.22134604,0.114734959,0.121459036,0.082165114,-0.056499725,0.235564323,0.191882378,0.271269887,0.349053734,-0.050390999,0.346054711,0.001562195,-0.037827971,0.148542017,0.378081114,0.341221033,0.041612622,-0.289018698,0.414612528
S002,3.941606385,MB_H,-1.580176911,APP_L,MB_H_APP_L,-0.294760802,0.288223519,0.073558592,0.423188259,0.222244612,0.207980069,0.160457214,0.249799595,-0.063777031,0.183118102,0.088172037,0.077528949,0.075566679,0.012822316,0.285894023,0.17837656,0.283283905,0.351166241,-0.015100004,0.360564636,-0.04111657,0.034604096,0.097895108,0.367775962,0.299584452,0.019811399,-0.236772506,0.387157855
S003,1.142367912,MB_L,0.205458701,APP_H,MB_L_APP_H,-0.136842306,0.293808688,0.112626138,0.502367219,0.327489858,0.20782613,0.261095236,0.277651177,0.063312637,0.186125387,0.156813047,0.117143879,0.145732079,0.028730513,0.322478191,0.263188353,0.242245611,0.348191482,0.05898158,0.443717476,0.045189536,0.033465162,0.320620164,0.418504383,0.352368549,0.038692147,-0.04692313,0.461775853
S005,1.349358266,MB_L,-0.267373729,APP_L,MB_L_APP_L,-0.301444486,0.186445509,0.056394382,0.484579781,0.243234603,0.185309777,0.164996575,0.254946669,-0.055649222,0.154889633,0.064938269,0.095498526,0.127027476,-0.04216131,0.195598798,0.159679939,0.272342877,0.262961833,-0.022778922,0.414917239,0.002265958,-0.029601704,0.105230557,0.35994688,0.307709759,0.057351074,-0.308169781,0.417888185
S006,1.634715536,MB_L,1.080077105,APP_H,MB_L_APP_H,-0.199116437,0.320657842,0.158073914,0.476105898,0.302670498,0.23399517,0.301207309,0.304755409,0.079948325,0.206475686,0.201800307,0.190417993,0.145236949,0.104954314,0.17771469,0.241730435,0.218887992,0.446143899,-0.087572733,0.301155562,0.05123374,-0.094772581,0.284885982,0.386305266,0.310426946,0.111378277,-0.235213451,0.454781415
S007,1.182279033,MB_L,0.359660026,APP_H,MB_L_APP_H,-0.256243231,0.171439303,0.090715238,0.48880247,0.237628804,0.183716175,0.255071262,0.307976094,-0.014072526,0.119994298,0.216240425,0.173218714,0.16936705,0.030699819,0.310953466,0.194511962,0.290927218,0.300139527,-0.066587831,0.346609196,0.000532619,0.028646725,0.172715217,0.353029369,0.375149002,0.063051598,-0.240148738,0.440036986
S008,1.349358266,MB_L,-0.441565323,APP_L,MB_L_APP_L,-0.271216842,0.210695378,0.011565592,0.411148662,0.199277236,0.173180253,0.19511122,0.216942116,-0.096942972,0.226663969,0.003222329,0.102975028,0.066570796,-0.073761748,0.265628201,0.142844735,0.261569115,0.281599667,0.041850789,0.321935601,-0.049836307,0.072069795,0.025053411,0.357588788,0.329969135,0.04495031,-0.306896782,0.396956284
S009,1.691133088,MB_L,-0.247007705,APP_L,MB_L_APP_L,-0.29318515,0.245083624,-0.010377338,0.43123328,0.238819432,0.207303535,0.147044665,0.220034738,-0.082916674,0.191891983,0.077840932,0.063214608,0.101600638,-0.020757034,0.227102018,0.124943082,0.206560573,0.35986125,-0.049649844,0.31464663,-0.001343963,-0.127235132,-0.011430589,0.37206824,0.330461809,0.067029701,-0.320273457,0.388943791
S010,4.362228844,MB_H,1.751673103,APP_H,MB_H_APP_H,-0.106180227,0.215050386,0.206091126,0.520766697,0.300649502,0.238170319,0.374449011,0.27699622,0.135384291,0.114916569,0.253190459,0.217935573,0.222252991,0.023093772,0.218096384,0.28278343,0.26378834,0.342779255,-0.025146159,0.411052757,0.061879092,-0.041084008,0.335603768,0.388697005,0.368260033,0.108377535,-0.195398798,0.445915866
S011,1.182279033,MB_L,0.410755603,APP_H,MB_L_APP_H,-0.214612131,0.158188202,0.039268259,0.479058421,0.263133401,0.163774574,0.278971892,0.254970333,-0.008024315,0.24247967,0.164099555,0.17916425,0.130705854,-0.030481292,0.277629323,0.181962488,0.265984515,0.30503238,-0.008599152,0.360723214,0.014019335,0.024927839,0.218544777,0.370829215,0.39270726,0.06594724,-0.22888621,0.466515472
S012,5.612520487,MB_H,1.421714744,APP_H,MB_H_APP_H,-0.19173205,0.20144196,0.072490222,0.454556203,0.240844193,0.180146758,0.216487907,0.258407787,0.012871037,0.125462764,0.205817921,0.114232041,0.119564986,0.026467331,0.21903688,0.257421189,0.268117199,0.361849613,0.004251421,0.382991662,0.034242106,0.050031347,0.256239174,0.383474089,0.284328838,0.081925299,-0.13578818,0.435223613
S014,4.875737466,MB_H,-1.981291785,APP_L,MB_H_APP_L,-0.207288342,0.302999582,0.091769515,0.487631719,0.249254026,0.192457021,0.269200924,0.25086496,-0.011181748,0.196212955,0.111460457,0.128048506,0.108074365,0.014317432,0.29060251,0.226282677,0.235763458,0.412490666,-0.00316458,0.353831213,-0.022065939,0.070641847,0.242252859,0.412362427,0.312846721,0.056513011,-0.171362948,0.443959782
S016,2.066555769,MB_L,0.692726678,APP_H,MB_L_APP_H,-0.176912092,0.362330164,0.093701146,0.441531512,0.242733002,0.247535902,0.234466818,0.23414026,0.104367491,0.215485164,0.231765305,0.13974261,0.140177868,-0.035844866,0.165729012,0.246042205,0.193907046,0.378740323,-0.077932401,0.287245364,-0.014848156,-0.06127898,0.235805804,0.362895539,0.332838554,0.062947183,-0.317316261,0.424113684
S017,4.415525945,MB_H,0.305538217,APP_H,MB_H_APP_H,-0.189722586,0.229674848,0.024640051,0.39737185,0.170371218,0.168752344,0.187150737,0.215379032,-0.096378857,0.117528654,-0.052776928,0.035147237,0.061538325,-0.068871369,0.224734936,0.113761905,0.248691937,0.299476436,-0.122881287,0.364245622,-0.080759282,-0.177874145,-0.054660068,0.373174782,0.285127134,-0.009011695,-0.272502498,0.399320352
S018,0.801600757,MB_L,0.035254886,APP_H,MB_L_APP_H,-0.278956883,0.190647368,0.018214107,0.478227541,0.25018949,0.160821733,0.209078924,0.265173104,-0.065000439,0.261364165,0.043848741,0.077267449,0.08592865,-0.008189809,0.322675718,0.126324534,0.238796322,0.314673573,-0.039710082,0.337604381,-0.035163755,-0.071924063,0.111011295,0.357281449,0.336698417,0.044847166,-0.196347561,0.414746492
S019,1.331721187,MB_L,-2.15300777,APP_L,MB_L_APP_L,-0.285550234,0.174303047,0.030925592,0.486876158,0.260449126,0.175489798,0.203784483,0.327631292,-0.120527284,0.180645007,0.1089643,0.065698267,0.092263716,-0.022110245,0.306816904,0.155891606,0.270513839,0.335077102,-0.062712141,0.353688313,-0.029041147,-0.029159961,0.136703545,0.336256706,0.271490765,0.014281346,-0.1105643,0.39426068
S020,1.560942049,MB_L,0.252493284,APP_H,MB_L_APP_H,-0.128662921,0.214263157,0.100554905,0.538920526,0.325169105,0.188139602,0.325877035,0.289740692,0.076705131,0.163953498,0.207444143,0.176890778,0.151900839,0.080691694,0.267803125,0.257877792,0.245371281,0.394926617,-0.008390047,0.436429749,0.085628405,0.060097848,0.292752655,0.434050522,0.366798445,0.083766333,-0.029005152,0.479283043
S021,1.401011577,MB_L,-0.333790366,APP_L,MB_L_APP_L,-0.205086558,0.076841818,0.028825169,0.456335421,0.212626233,0.138281018,0.150851458,0.207189507,-0.072866817,0.177051042,0.002801659,0.061770211,0.076388872,-0.01278188,0.19545539,0.110030908,0.248678005,0.348337111,-0.021113096,0.337366949,-0.042646782,-0.087080891,0.06048755,0.368364838,0.286329608,-0.019314292,-0.319624976,0.416701626
S022,8.737485435,MB_H,1.834545591,APP_H,MB_H_APP_H,-0.14890969,0.365818728,0.169375221,0.497258728,0.249300114,0.220300165,0.303776388,0.308093139,0.102122269,0.199023738,0.197793075,0.167456446,0.158660755,0.004949123,0.301839531,0.239772518,0.273526608,0.315559523,0.061605334,0.380271774,0.035330926,0.043164303,0.235971938,0.398215095,0.371856766,0.09445689,-0.22366708,0.41129477
S023,7.006927428,MB_H,-1.022166814,APP_L,MB_H_APP_L,-0.21560329,0.326455841,0.155527098,0.438019092,0.187562415,0.194782074,0.168467792,0.270667831,-0.006286967,0.219892049,0.181060115,0.100600578,0.089555568,-0.065111381,0.294593637,0.171713975,0.249339468,0.308471262,-0.040249434,0.32509684,-0.020095926,-0.012218903,0.116439203,0.388484225,0.306041685,0.038466754,-0.288353582,0.366781123
S024,1.691133088,MB_L,0.96218709,APP_H,MB_L_APP_H,-0.246067502,0.251961473,0.045945643,0.484300394,0.282000706,0.172767646,0.248282145,0.290538526,-0.020599403,0.201377516,0.139981427,0.124080784,0.101851891,0.001743382,0.295015242,0.208240887,0.290475356,0.336702907,-0.055999336,0.379354765,0.016197725,0.004749087,0.26299247,0.385511622,0.314167309,0.053646633,-0.175571531,0.423778154
S025,1.499080695,MB_L,-1.108683442,APP_L,MB_L_APP_L,-0.267456378,0.091097022,0.028744038,0.430855059,0.258047226,0.150359673,0.150917487,0.263310388,-0.068477969,0.234289626,0.10586986,0.12975719,0.100412962,-0.04204204,0.233658383,0.127683585,0.249080515,0.350535506,0.027366147,0.339314426,-0.000895192,-0.020217877,0.166831002,0.364527961,0.295451666,0.04937263,-0.239772741,0.430444769
S026,1.201828046,MB_L,1.098020766,APP_H,MB_L_APP_H,-0.243551327,0.146833176,0.050579365,0.481195887,0.250056758,0.161966602,0.264380915,0.230366809,-0.044668926,0.246096691,0.1343461,0.150906727,0.114547408,-0.054030751,0.298035047,0.173257151,0.239379138,0.304212057,0.024772233,0.352060605,-0.003820475,0.015233707,0.151291965,0.361156104,0.379062182,0.059043681,-0.256127771,0.434869878
S027,5.025868086,MB_H,0.77766653,APP_H,MB_H_APP_H,-0.251126505,0.254208361,0.055436268,0.444176814,0.314731017,0.196130196,0.240981588,0.274093467,0.023404076,0.128487609,0.159724763,0.076212519,0.099816058,-0.000857556,0.21216346,0.220678895,0.244126636,0.355902267,-0.036404762,0.43286359,-0.007606783,-0.030288791,0.210808778,0.408652394,0.326849398,0.084513547,-0.134927205,0.434349083
S028,1.860596943,MB_L,-0.993991303,APP_L,MB_L_APP_L,-0.198720549,0.166215654,0.022255494,0.477547834,0.28009947,0.197643471,0.316361471,0.212927969,-0.001363661,0.274613464,0.148478119,0.197620054,0.16613976,-0.042337096,0.25523823,0.20900225,0.235677653,0.293043686,0.084796094,0.360165804,0.069611741,0.120090441,0.210858569,0.381600906,0.40642423,0.122452165,-0.200213476,0.459312683
S029,1.59090564,MB_L,0.527075892,APP_H,MB_L_APP_H,-0.169918394,0.167893825,0.052643901,0.540939615,0.322301348,0.178464,0.304377036,0.282979874,0.06797339,0.107803809,0.188149724,0.168885536,0.144605055,0.075015636,0.237316179,0.296050507,0.222346451,0.340074111,0.005304898,0.407723255,0.092359385,0.046169446,0.315848281,0.415415331,0.336384898,0.065850171,0.006362424,0.485701823
S030,5.315549182,MB_H,-1.093545924,APP_L,MB_H_APP_L,-0.177099918,0.362459001,0.16644577,0.496158204,0.289666764,0.238014871,0.233919343,0.264091441,0.080584308,0.219745022,0.19865553,0.147427305,0.130750104,-0.042583866,0.300687119,0.236212087,0.225832611,0.325729407,0.096139753,0.398546848,0.008176212,0.097779561,0.235828301,0.409697537,0.370512366,0.122024331,-0.173472138,0.440413
S031,1.434447489,MB_L,-1.13855722,APP_L,MB_L_APP_L,-0.288617719,0.201447759,0.082777318,0.449071791,0.239575417,0.202704066,0.106847441,0.264636598,-0.045223477,0.183419537,0.04520505,0.080804384,0.092981236,0.020631815,0.267678891,0.179626725,0.296194744,0.331134456,-0.039550284,0.340585515,-0.045641268,0.023671082,0.148585752,0.392001528,0.306247918,0.073618225,-0.288459061,0.391895133
S032,3.667073084,MB_H,0.968565919,APP_H,MB_H_APP_H,-0.195371522,0.266950023,0.073590996,0.489711023,0.289271814,0.175981002,0.279171199,0.273169187,0.025450889,0.167611813,0.189602216,0.161299965,0.136679046,0.038685177,0.227756518,0.222310195,0.255036035,0.350804319,0.113180667,0.394028048,0.045809192,0.032837832,0.295647938,0.424600834,0.363148005,0.075630056,-0.112763447,0.463292796
S033,1.295786701,MB_L,-0.377715392,APP_L,MB_L_APP_L,-0.138100712,0.143662613,0.010375738,0.459521044,0.298040017,0.225214392,0.210518922,0.217350849,0.044973966,0.186486344,0.097148084,0.146219114,0.145256208,-0.064435795,0.223809165,0.166519544,0.184406836,0.284008515,-0.005095443,0.392266647,0.011981487,-0.039127355,0.183645913,0.393332842,0.322035443,0.062533803,-0.228807384,0.432973251
S034,2.603454103,MB_H,-1.34269766,APP_L,MB_H_APP_L,-0.202026247,0.133625997,0.035075481,0.473753321,0.275865518,0.176607518,0.238326565,0.228054516,-0.033286953,0.234751308,0.037897456,0.15665518,0.108603326,-0.044867322,0.241223613,0.103141885,0.231232419,0.319228219,0.007760734,0.37024506,-0.016131304,-0.026799486,0.02631215,0.373675198,0.364286124,0.052917622,-0.304783426,0.457695703
S036,2.218238939,MB_L,-0.993361324,APP_L,MB_L_APP_L,-0.160138521,0.186464006,0.101872963,0.486762349,0.258333559,0.192089998,0.27768189,0.232585672,0.04789234,0.204624402,0.147595228,0.151896808,0.150829172,-0.020250763,0.228501205,0.206619575,0.264269206,0.382251265,0.065614093,0.38002154,-0.001455148,0.016983313,0.121867804,0.397937337,0.319896549,0.0510487,-0.260913313,0.455686324
S037,4.821482763,MB_H,0.865693199,APP_H,MB_H_APP_H,-0.255920197,0.330639805,0.058119356,0.476404283,0.346268499,0.221466242,0.29706333,0.289437164,-0.00656146,0.215141341,0.18242743,0.1511765,0.12332968,0.021437504,0.309619946,0.252504978,0.249900901,0.372367349,-0.053803617,0.417147677,0.039834464,0.083307797,0.223292785,0.396365372,0.369906655,0.104591346,-0.073312661,0.441156932
S038,1.46712601,MB_L,0.772731527,APP_H,MB_L_APP_H,-0.186341513,0.237739227,0.104021754,0.489139119,0.242245792,0.192089333,0.271064983,0.307220395,0.031455447,0.271201085,0.225740611,0.162536644,0.12330208,-0.028032702,0.31529398,0.210748595,0.254195818,0.332383993,-0.030767148,0.34573608,0.053837261,-0.003825429,0.147031863,0.363141566,0.353896223,0.032200329,-0.194742815,0.432889846
S039,1.483191823,MB_L,-0.848887807,APP_L,MB_L_APP_L,-0.253127894,0.143294097,0.041967954,0.476662098,0.264710966,0.188371611,0.204217467,0.231749289,-0.019612031,0.205848983,0.075267169,0.156831799,0.135190333,-0.024597102,0.209595835,0.180967906,0.214636532,0.317355365,-0.031256415,0.366567449,0.003225551,0.010701231,0.061199546,0.382191667,0.342737279,0.07705147,-0.267897988,0.443750607
S040,1.417826394,MB_L,0.526625292,APP_H,MB_L_APP_H,-0.195158658,0.227614533,0.073085336,0.493724312,0.32483867,0.221181879,0.245135349,0.262873859,0.021450451,0.213093134,0.145312435,0.167274157,0.136764635,-0.014449292,0.269603497,0.18508636,0.241616122,0.315907818,0.073597462,0.395015993,0.054083855,0.008449725,0.153780947,0.368425163,0.387758147,0.078308515,-0.180843064,0.441157838
S041,1.277478143,MB_L,1.197381678,APP_H,MB_L_APP_H,-0.212803326,0.298743729,0.090569778,0.514313165,0.292986896,0.236646651,0.303171092,0.237387762,0.040498264,0.251663556,0.181789918,0.154837323,0.160724797,-0.0179397,0.238505867,0.240085529,0.247018903,0.347765106,-0.021123021,0.334443038,0.0136364,0.056127733,0.261316401,0.363656177,0.352621053,0.072912835,-0.188623825,0.437403296
S042,1.530342916,MB_L,-2.05541637,APP_L,MB_L_APP_L,-0.209847853,0.279911402,0.032517785,0.46352835,0.290993919,0.245889323,0.254185273,0.230276583,-0.015338244,0.271098154,0.191704416,0.190310836,0.1335386,-0.074040323,0.280648131,0.159211944,0.198305465,0.373313922,-0.094691346,0.315111726,0.024245933,0.03241778,0.134877912,0.358343381,0.35364092,0.105032572,-0.261623237,0.451931484
S044,0.42283286,MB_L,-1.230501946,APP_L,MB_L_APP_L,-0.16972412,0.193037706,0.037241573,0.524716252,0.319577567,0.226970682,0.325271635,0.259230045,0.011410007,0.243493186,0.18274115,0.180324749,0.150980364,0.031106351,0.271909333,0.227895366,0.230550154,0.319347375,0.01218013,0.417834156,0.079637861,0.08939294,0.244595708,0.374847473,0.392436833,0.099072149,-0.081981577,0.504070062
S045,1.182279033,MB_L,0.702329069,APP_H,MB_L_APP_H,-0.151807477,0.187374875,0.054367685,0.514005834,0.366310441,0.188395971,0.338391851,0.29064626,0.092041872,0.138242856,0.252643705,0.16529261,0.199360318,0.032652806,0.272682156,0.335843326,0.250636684,0.379353653,0.0521306,0.406748015,0.08169653,0.048385382,0.380103482,0.440069475,0.411967459,0.098146895,0.139946233,0.503326015
S046,3.981739572,MB_H,-0.668531836,APP_L,MB_H_APP_L,-0.176343403,0.26012262,0.077759547,0.516535298,0.295459738,0.213773033,0.314504948,0.261698124,0.038960749,0.241123209,0.198541805,0.194299292,0.165586173,-0.039153977,0.263221303,0.236241232,0.265415907,0.264272379,0.114141253,0.406455874,0.053531025,0.100210591,0.217650989,0.379128582,0.386796039,0.067387669,-0.177403216,0.484812848
S048,1.121990524,MB_L,0.760941587,APP_H,MB_L_APP_H,-0.143351817,0.233920744,0.06066559,0.504674796,0.285135365,0.2264265,0.292279203,0.254764633,0.07748795,0.25062358,0.193022539,0.202379854,0.166319457,-0.019603503,0.274305136,0.237643415,0.238764507,0.329484664,0.001579043,0.400181548,0.053054318,0.093662763,0.24069041,0.379835591,0.38700394,0.089860125,-0.184127322,0.439477563
S049,4.093231531,MB_H,0.951686423,APP_H,MB_H_APP_H,-0.100441877,0.366960953,0.186424524,0.474517924,0.267478314,0.224078494,0.257614244,0.299097542,0.133143614,0.203190447,0.3030895,0.179664631,0.149459712,-0.03419161,0.242298646,0.282948042,0.250192085,0.37911893,-0.047666691,0.3363223,0.064543047,0.011007288,0.3349338,0.407876632,0.335021748,0.090387952,-0.247289577,0.419923105
S050,5.123913178,MB_H,-0.894121968,APP_L,MB_H_APP_L,-0.153920695,0.336354342,0.084594973,0.491956715,0.312063511,0.232107657,0.342758476,0.277723469,0.049900226,0.238155443,0.248898601,0.182600353,0.154679164,-0.006119252,0.290280071,0.246947729,0.235092159,0.361511716,0.079894205,0.398745743,0.020450567,0.111638725,0.303404319,0.403548907,0.365398137,0.077909448,-0.144880662,0.472427462
S051,4.964246973,MB_H,1.574753403,APP_H,MB_H_APP_H,-0.206327084,0.292777446,0.099742561,0.43273475,0.247421073,0.217702206,0.316288957,0.258636413,0.020422827,0.176554799,0.10632756,0.149498886,0.165407881,-0.006618902,0.262107308,0.180763145,0.277001708,0.378533636,0.026584468,0.366027759,0.01593231,0.005840317,0.173189458,0.394089331,0.35584914,0.071157159,-0.284906237,0.419495085
S053,1.295786701,MB_L,1.157725692,APP_H,MB_L_APP_H,-0.206751991,0.16273101,0.173559344,0.473371531,0.247670562,0.196315767,0.266398183,0.258282873,0.027479021,0.188702022,0.186182286,0.151154305,0.131782333,-0.02479529,0.260860173,0.222110059,0.286009954,0.2944363,-0.02927738,0.297048689,0.01126666,-0.011842873,0.17850412,0.37049279,0.357642313,0.113651503,-0.331715699,0.440055342
S054,1.121990524,MB_L,0.410018665,APP_H,MB_L_APP_H,-0.123745921,0.215091662,0.061701079,0.481862993,0.286904216,0.181941739,0.201029114,0.245535294,0.039448037,0.166345866,0.155085443,0.121375368,0.126376586,-0.047642175,0.225857177,0.164852025,0.251270865,0.328993377,-0.032180008,0.361986502,-0.014317721,0.076733146,0.181089691,0.40382523,0.359267521,0.129906787,-0.25225187,0.431839832
S055,6.473523558,MB_H,1.527051154,APP_H,MB_H_APP_H,-0.198205221,0.261031634,0.177120871,0.476372368,0.257348307,0.178753682,0.311579226,0.26044089,0.036784169,0.251838068,0.21874504,0.178405129,0.161037745,0.009629107,0.287718963,0.20429015,0.261606808,0.37294704,0.042624101,0.36704766,0.039269445,0.021435723,0.257755469,0.382355455,0.398456907,0.083157522,-0.257956122,0.443481492
S056,1.295786701,MB_L,0.557261032,APP_H,MB_L_APP_H,-0.170934835,0.124525417,0.097396259,0.535872366,0.30797307,0.172720685,0.292872963,0.237672137,0.037172736,0.139661453,0.173059207,0.170539088,0.149902356,0.013752028,0.216550833,0.265455637,0.239267231,0.372168202,0.047791881,0.395764802,0.058860788,0.035421426,0.206813024,0.418093962,0.380377823,0.073888467,-0.212401623,0.459339507
