ID,Gene,FoldChange.acetyl,pval.acetyl,logp.acetyl,signedlogp.acetyl,FDR.acetyl,FoldChange.rna,pval.rna,logp.rna,signedlogp.rna,FDR.rna
A2M-K1176,A2M,0.488,0.244581635,0.611576156,0.611576156,0.656432476,-0.295,0.315996988,0.500317057,-0.500317057,0.521291003
A2M-K516,A2M,0.7965,0.161716544,0.791245548,0.791245548,0.567919886,-0.295,0.315996988,0.500317057,-0.500317057,0.521291003
AAGAB-K290,AAGAB,0.291,0.175483798,0.755762974,0.755762974,0.585048499,-0.11,0.515779327,0.287536069,-0.287536069,0.699610413
AATF-K380,AATF,0.076,0.673108202,0.171915118,0.171915118,0.922454527,0.92,3.51E-04,3.454522122,3.454522122,0.005731601
ABCE1-K121,ABCE1,0.3286,3.05E-02,1.515605294,1.515605294,0.340904556,0.22,0.146765106,0.833377186,0.833377186,0.318769932
ABCE1-K210,ABCE1,-0.1459,0.188640683,0.72436464,-0.72436464,0.595680181,0.22,0.146765106,0.833377186,0.833377186,0.318769932
ABCE1-K431,ABCE1,0.02195,0.784406384,0.10545888,0.10545888,0.963872943,0.22,0.146765106,0.833377186,0.833377186,0.318769932
ABHD10-K101,ABHD10,-0.0444,0.548157565,0.261094588,-0.261094588,0.864349079,-0.01,0.835789319,0.077903183,-0.077903183,0.909698567
ABHD10-K129,ABHD10,-0.185075,0.908677098,0.041590418,-0.041590418,0.985845275,-0.01,0.835789319,0.077903183,-0.077903183,0.909698567
ABHD11-K87,ABHD11,0.1767,0.587095349,0.23129136,0.23129136,0.880738673,0.21,0.394498418,0.403954734,0.403954734,0.59618089
ABRACL-K25,ABRACL,-0.4045,0.110099847,0.958213283,-0.958213283,0.491960971,-0.36,0.043149984,1.365019357,-1.365019357,0.13968285
ABRACL-K51,ABRACL,-0.95,0.027929816,1.553931932,-1.553931932,0.326367693,-0.36,0.043149984,1.365019357,-1.365019357,0.13968285
ACAA1-K198,ACAA1,0.052,8.27E-01,0.082591002,0.082591002,0.974426733,-0.275,0.146760863,0.833389743,-0.833389743,0.318769932
ACAA1-K234,ACAA1,0.091,0.907751019,0.042033255,0.042033255,0.985845275,-0.275,0.146760863,0.833389743,-0.833389743,0.318769932
ACAA1-K259,ACAA1,-0.162,0.80772122,0.092738507,-0.092738507,0.971467577,-0.275,0.146760863,0.833389743,-0.833389743,0.318769932
ACAA2-K13,ACAA2,0.087,0.644525982,0.190759571,0.190759571,0.908294344,0.815,0.012087549,1.917661762,1.917661762,0.05843015
ACAA2-K137,ACAA2,0.4495,0.082485857,1.083620507,1.083620507,0.453363276,0.815,0.012087549,1.917661762,1.917661762,0.05843015
ACAA2-K181,ACAA2,0.4678,0.031827671,1.497195138,1.497195138,0.342406146,0.815,0.012087549,1.917661762,1.917661762,0.05843015
ACAA2-K191,ACAA2,0.193155,2.84E-01,0.546065008,0.546065008,0.690484731,0.815,0.012087549,1.917661762,1.917661762,0.05843015
ACAA2-K234,ACAA2,0.793,0.0114427,1.941471496,1.941471496,0.240557944,0.815,0.012087549,1.917661762,1.917661762,0.05843015
ACAA2-K25,ACAA2,-0.0665,0.970073405,0.013195402,-0.013195402,0.998260607,0.815,0.012087549,1.917661762,1.917661762,0.05843015
ACAA2-K269,ACAA2,-0.0027,0.504890129,0.29680312,-0.29680312,0.840958865,0.815,0.012087549,1.917661762,1.917661762,0.05843015
ACAA2-K270,ACAA2,0.2773,0.017972083,1.745401575,1.745401575,0.284683072,0.815,0.012087549,1.917661762,1.917661762,0.05843015
ACADM-K312,ACADM,-0.1249,0.554322191,0.256237735,-0.256237735,0.865677572,-0.02,0.410237653,0.386964481,-0.386964481,0.611479211
ACADS-K136,ACADS,0.0064,0.877007489,0.056996698,0.056996698,0.983227298,-0.815,2.33E-04,3.632789137,-3.632789137,0.004481579
ACADVL-K218,ACADVL,-0.0769,0.900955205,0.045296801,-0.045296801,0.984804788,-0.33,0.045499288,1.341995403,-1.341995403,0.144953327
ACADVL-K262,ACADVL,0.0555,0.87617136,0.057410947,0.057410947,0.983227298,-0.33,0.045499288,1.341995403,-1.341995403,0.144953327
ACADVL-K299,ACADVL,-0.068,0.965609604,0.015198424,-0.015198424,0.998260607,-0.33,0.045499288,1.341995403,-1.341995403,0.144953327
ACADVL-K301,ACADVL,0.0135,0.707440824,0.150309882,0.150309882,0.935131223,-0.33,0.045499288,1.341995403,-1.341995403,0.144953327
ACADVL-K321,ACADVL,0.283305,0.199286654,0.700521784,0.700521784,0.610280646,-0.33,0.045499288,1.341995403,-1.341995403,0.144953327
ACADVL-K573,ACADVL,-0.19026,0.504670415,0.296992154,-0.296992154,0.840958865,-0.33,0.045499288,1.341995403,-1.341995403,0.144953327
ACADVL-K662,ACADVL,-0.1339,0.734240866,0.134161447,-0.134161447,0.946122884,-0.33,0.045499288,1.341995403,-1.341995403,0.144953327
ACAT1-K124,ACAT1,-0.4885,0.004512744,2.345559266,-2.345559266,0.166689934,-0.065,0.788017989,0.103463868,-0.103463868,0.884155787
ACAT1-K174,ACAT1,0.06525,0.875296759,0.05784468,0.05784468,0.983227298,-0.065,0.788017989,0.103463868,-0.103463868,0.884155787
ACAT1-K181,ACAT1,-0.306,1,0,0,1,-0.065,0.788017989,0.103463868,-0.103463868,0.884155787
ACAT1-K190,ACAT1,-0.56015,0.014825987,1.828976387,-1.828976387,0.264326288,-0.065,0.788017989,0.103463868,-0.103463868,0.884155787
ACAT1-K202,ACAT1,-0.99490825,3.07E-03,2.512896747,-2.512896747,0.149883755,-0.065,0.788017989,0.103463868,-0.103463868,0.884155787
ACAT1-K230,ACAT1,-0.14585,0.425640314,0.370957245,-0.370957245,0.803307142,-0.065,0.788017989,0.103463868,-0.103463868,0.884155787
ACAT1-K251,ACAT1,0.257,0.202864538,0.692793863,0.692793863,0.615719344,-0.065,0.788017989,0.103463868,-0.103463868,0.884155787
ACAT1-K257,ACAT1,-0.1719225,0.496880964,0.303747641,-0.303747641,0.835734509,-0.065,0.788017989,0.103463868,-0.103463868,0.884155787
ACAT2-K223,ACAT2,0.1845,0.8630055,0.063986436,0.063986436,0.983227298,0.215,0.501443536,0.299777963,0.299777963,0.686617772
ACIN1-K238,ACIN1,-0.3435,0.704704644,0.151992866,-0.151992866,0.935004313,0.19,0.030567029,1.514746765,1.514746765,0.110765011
ACIN1-K359,ACIN1,0.365271,0.009502091,2.02218083,2.02218083,0.218738127,0.19,0.030567029,1.514746765,1.514746765,0.110765011
ACIN1-K860,ACIN1,-0.07215,0.647606969,0.188688486,-0.188688486,0.909344156,0.19,0.030567029,1.514746765,1.514746765,0.110765011
ACLY-K1022,ACLY,0.31925,0.056459127,1.24826584,1.24826584,0.397458443,0.005,0.719950494,0.142697366,0.142697366,0.846765258
ACLY-K522,ACLY,0.6943,0.002630415,2.579975773,2.579975773,0.144806353,0.005,0.719950494,0.142697366,0.142697366,0.846765258
ACLY-K592,ACLY,0.282,0.021325655,1.671097624,1.671097624,0.299339375,0.005,0.719950494,0.142697366,0.142697366,0.846765258
ACLY-K594,ACLY,0.23525,0.038131646,1.418714449,1.418714449,0.360488907,0.005,0.719950494,0.142697366,0.142697366,0.846765258
ACLY-K608,ACLY,0.30515,0.203163315,0.692154709,0.692154709,0.615719344,0.005,0.719950494,0.142697366,0.142697366,0.846765258
ACO2-K370,ACO2,-0.12465,0.701979623,0.153675494,-0.153675494,0.934968895,-0.005,0.92412537,0.034269107,-0.034269107,0.960608962
ACO2-K401,ACO2,-0.0155,0.963659735,0.016076287,-0.016076287,0.998260607,-0.005,0.92412537,0.034269107,-0.034269107,0.960608962
ACO2-K409,ACO2,-0.2017,0.725233533,0.139522124,-0.139522124,0.942335028,-0.005,0.92412537,0.034269107,-0.034269107,0.960608962
ACO2-K465,ACO2,0.1085,0.973613843,0.01161326,0.01161326,0.998868192,-0.005,0.92412537,0.034269107,-0.034269107,0.960608962
ACO2-K50,ACO2,0.01922,0.968718238,0.013802524,0.013802524,0.998260607,-0.005,0.92412537,0.034269107,-0.034269107,0.960608962
ACO2-K520,ACO2,-0.1452,0.436216666,0.360297746,-0.360297746,0.810363825,-0.005,0.92412537,0.034269107,-0.034269107,0.960608962
ACO2-K689,ACO2,-0.0928,0.854358933,0.068359635,-0.068359635,0.981649246,-0.005,0.92412537,0.034269107,-0.034269107,0.960608962
ACO2-K723,ACO2,-0.18385,0.685122847,0.16423155,-0.16423155,0.925830815,-0.005,0.92412537,0.034269107,-0.034269107,0.960608962
ACO2-K736,ACO2,0.16807,0.361969024,0.441328593,0.441328593,0.754416201,-0.005,0.92412537,0.034269107,-0.034269107,0.960608962
ACO2-K743,ACO2,0.15295,0.844407302,0.07344802,0.07344802,0.980563103,-0.005,0.92412537,0.034269107,-0.034269107,0.960608962
ACOT13-K111,ACOT13,0.02055,0.890009255,0.050605477,0.050605477,0.983742051,-0.15,0.237164834,0.624949707,-0.624949707,0.436980236
ACOT13-K123,ACOT13,0.4205,0.054143643,1.266452526,1.266452526,0.396352921,-0.15,0.237164834,0.624949707,-0.624949707,0.436980236
ACOT13-K127,ACOT13,0.0234,0.91524354,0.038463328,0.038463328,0.985845275,-0.15,0.237164834,0.624949707,-0.624949707,0.436980236
ACOT13-K37,ACOT13,-0.196,0.38112001,0.418938249,-0.418938249,0.768583673,-0.15,0.237164834,0.624949707,-0.624949707,0.436980236
ACOT9-K112,ACOT9,-0.1999,0.338141752,0.470901201,-0.470901201,0.735737332,0.15,0.391372087,0.407410152,0.407410152,0.595116665
ACOT9-K301,ACOT9,0.029325,0.977270732,0.009985108,0.009985108,0.99923084,0.15,0.391372087,0.407410152,0.407410152,0.595116665
ACOX1-K267,ACOX1,0.663,0.316852244,0.499143213,0.499143213,0.720033431,-0.19,0.109089591,0.962216688,-0.962216688,0.2616188
ACOX1-K437,ACOX1,0.0332,7.77E-01,1.10E-01,0.109637876,0.962048362,-0.19,0.109089591,0.962216688,-0.962216688,0.2616188
ACOX1-K500,ACOX1,0.54615,0.391630772,0.407123192,0.407123192,0.777160005,-0.19,0.109089591,0.962216688,-0.962216688,0.2616188
ACP1-K108,ACP1,1.0985,0.156682893,0.804978419,0.804978419,0.567435943,0.14,0.508560177,0.29365765,0.29365765,0.693196268
ACP1-K65,ACP1,0.395,0.425250867,0.371354793,0.371354793,0.803307142,0.14,0.508560177,0.29365765,0.29365765,0.693196268
ACSF2-K207,ACSF2,0.0906,0.691841634,0.159993306,0.159993306,0.92945793,0.58,0.134744037,0.870490445,0.870490445,0.30077043
