ID,FoldChange.protein,pval.protein,logp.protein,signedlogp.protein,FDR.protein,FoldChange.rna,pval.rna,logp.rna,signedlogp.rna,FDR.rna
A1BG,-0.1845,0.292725956,0.533538767,-0.533538767,0.634088442,0.41,0.094400984,1.025023477,1.025023477,0.307964751
A2M,-0.137,0.43004169,0.36648944,-0.36648944,0.744052726,-0.41,0.028974572,1.537982969,-1.537982969,0.160778016
A2ML1,-0.3655,0.157773035,0.80196722,-0.80196722,0.486292966,-0.99,0.237521232,0.624297563,-0.624297563,0.504848307
A4GALT,-0.0675,0.981531728,0.008095657,-0.008095657,0.99536658,-0.015,0.316041867,0.500255382,-0.500255382,0.586389294
AAAS,0.15145,0.019669395,1.706208997,1.706208997,0.195787194,0.06,0.493329593,0.306862832,0.306862832,0.731732113
AACS,0.1925,0.45361353,0.343314,0.343314,0.758858059,0.045,0.69128602,0.160342226,0.160342226,0.851316538
AADAT,0.338,0.023108171,1.63623443,1.63623443,0.210825185,0.29,0.220212729,0.657157581,0.657157581,0.483539725
AAED1,0.02645,0.487684451,0.311861091,0.311861091,0.779713247,-0.33,0.028972045,1.538020854,-1.538020854,0.160778016
AAGAB,0.105,0.126363041,0.898379931,0.898379931,0.442408381,0.155,0.038460169,1.41498881,1.41498881,0.188027706
AAK1,-0.16815,0.018402295,1.735128021,-1.735128021,0.19006967,-0.32,0.052281816,1.281649332,-1.281649332,0.221892144
AAMDC,-0.0615,0.209247362,0.679340009,-0.679340009,0.545792843,-0.055,0.960413337,0.017541818,-0.017541818,0.983920475
AAMP,0.1367,0.055402536,1.256470356,1.256470356,0.301793145,0.075,0.170659256,0.767870151,0.767870151,0.42132585
AAR2,0.0871,0.578309698,0.237839525,0.237839525,0.839247694,0.06,0.052190354,1.282409755,1.282409755,0.221892144
AARS,0.08955,0.854300069,0.068389559,0.068389559,0.953013305,0.225,0.039423391,1.404246017,1.404246017,0.190426358
AARS2,0.08905,0.424263533,0.372364296,0.372364296,0.740027551,0.15,0.037536829,1.42554242,1.42554242,0.185827385
AARSD1,0.24755,0.113376948,0.945475238,0.945475238,0.420127313,0.185,0.00815004,2.088840277,2.088840277,0.07892487
AASDHPPT,0.10384,0.0252031,1.598546035,1.598546035,0.215452339,0.185,0.121428867,0.915678056,0.915678056,0.353221102
AASS,-0.476,0.023933306,1.6209973,-1.6209973,0.212427604,-0.52,7.38E-04,3.131872737,-3.131872737,0.021102718
AATF,0.14095,0.202140716,0.694346201,0.694346201,0.537177454,0.15,5.21E-04,3.28341998,3.28341998,0.01725574
ABAT,0.1485,0.928816921,0.032069881,0.032069881,0.977126731,0.05,0.647935958,0.188467918,0.188467918,0.825658824
ABCA8,-0.146,0.090329936,1.0441683,-1.0441683,0.382886553,-0.94,0.004597519,2.337476443,-2.337476443,0.05835501
ABCB1,-0.21,0.023627214,1.626587481,-1.626587481,0.212427604,-0.96,5.72E-04,3.242630229,-3.242630229,0.018224302
ABCB10,0.2099,0.255739065,0.592202927,0.592202927,0.593157996,0.08,0.072344571,1.140594055,1.140594055,0.265621126
ABCB6,0.0034,0.854304605,0.068387253,0.068387253,0.953013305,0.145,0.145881499,0.835999781,0.835999781,0.386461804
ABCB7,-0.0595,0.669515484,0.174239375,-0.174239375,0.882045715,0.07,0.792463258,0.101020865,0.101020865,0.906638378
ABCB8,-0.0678,0.525250161,0.279633806,-0.279633806,0.80451468,-0.035,0.788667678,0.103105958,-0.103105958,0.904396453
ABCC1,-0.176,0.148676002,0.827759126,-0.827759126,0.473072466,-0.04,0.964367916,0.015757247,-0.015757247,0.985115862
ABCC10,-0.0480405,0.942462504,0.025735919,-0.025735919,0.981369406,0.05,0.956458196,0.019334007,0.019334007,0.98275829
ABCC3,0.29595,0.23556571,0.627887927,0.627887927,0.572239011,0.5,0.012198417,1.913696519,1.913696519,0.099465031
ABCC4,-0.3604,0.026188952,1.581881883,-1.581881883,0.218343341,-0.62,0.012027785,1.919814327,-1.919814327,0.098893988
ABCD1,0.04642,0.811709496,0.090599373,0.090599373,0.939689611,0.02,0.69498034,0.158027481,0.158027481,0.853903677
ABCD3,0.381,0.198647074,0.701917827,0.701917827,0.533727418,0.34,0.006427109,2.191984327,2.191984327,0.069421398
ABCD4,-0.1079,0.792520732,0.100989368,-0.100989368,0.933405456,-0.155,0.010125723,1.994573965,-1.994573965,0.089233106
ABCE1,-0.02655,0.609219095,0.215226493,-0.215226493,0.855612355,0.16,0.052860879,1.276865616,1.276865616,0.223144126
ABCF1,-0.0257,0.098394797,1.007027865,-1.007027865,0.39701466,-0.005,0.93669292,0.028402762,-0.028402762,0.974849861
ABCF2,0.0982,0.08870114,1.052070798,1.052070798,0.378842297,0.185,0.285699057,0.544091193,0.544091193,0.556360367
ABCF3,2.00E-04,0.602285138,0.220197854,0.220197854,0.852128594,0.07,0.578213943,0.23791144,0.23791144,0.78235592
ABCG1,0.2645,0.881641172,0.054708137,0.054708137,0.961758418,0.255,0.765862969,0.115848929,0.115848929,0.892343019
ABHD10,-0.14835,0.984161619,0.006933576,-0.006933576,0.996431106,0.14,0.056641113,1.246868224,1.246868224,0.231412009
ABHD11,0.241,0.070067496,1.154483401,1.154483401,0.336230672,0.37,0.011361477,1.94456522,1.94456522,0.095474012
ABHD12,0.1491,0.377013129,0.423643525,0.423643525,0.705469441,0.155,0.039417188,1.404314363,1.404314363,0.190426358
ABHD13,-0.0541,0.746492651,0.126974463,-0.126974463,0.913310358,-0.205,0.272656355,0.564384376,-0.564384376,0.542650841
ABHD14A,-0.17476,0.674981464,0.170708153,-0.170708153,0.885654993,0,0.746966327,0.126698976,0,0.882967121
ABHD14A-ACY1,-0.0095,0.93276259,0.03022888,-0.03022888,0.977948683,-0.86,0.124827149,0.90369095,-0.90369095,0.35926527
ABHD14B,-0.11805,0.665904213,0.176588238,-0.176588238,0.879451868,0.21,0.393264989,0.405314716,0.405314716,0.651336122
ABHD16A,0.0535,0.834881767,0.078375024,0.078375024,0.947391408,-0.03,0.588487665,0.230262636,-0.230262636,0.789111409
ABHD17A,-0.051,0.491978702,0.308053698,-0.308053698,0.782726578,-0.085,0.123830706,0.907171651,-0.907171651,0.357499299
ABHD17B,0.1266,0.361824466,0.44150207,0.44150207,0.692759114,0.06,0.276951713,0.557595944,0.557595944,0.547274596
ABHD17C,0.1255,0.176279306,0.753798669,0.753798669,0.509909996,0.045,0.522003627,0.282326479,0.282326479,0.750517953
ABHD2,-0.06238,0.328645236,0.483272659,-0.483272659,0.66573638,-0.245,0.119117921,0.924022896,-0.924022896,0.349631587
ABHD3,0.1738,0.138216006,0.85944166,0.85944166,0.458439229,0.33,0.011359325,1.944647488,1.944647488,0.095474012
ABHD4,-0.08488,0.960417489,0.01753994,-0.01753994,0.986932295,-0.08,0.827118027,0.082432513,-0.082432513,0.924544113
ABHD5,0.2868,0.089410886,1.048609603,1.048609603,0.381304305,0.135,0.116752058,0.932735454,0.932735454,0.345921834
ABHD6,-0.325,0.116811573,0.932514128,-0.932514128,0.424344507,-0.3,0.125120758,0.902670633,-0.902670633,0.35926527
ABI1,0.0056,0.330684145,0.480586628,0.480586628,0.667470162,0.01,0.717037928,0.144457872,0.144457872,0.865792125
ABI2,-0.095,0.062029328,1.207402923,-1.207402923,0.317111954,-0.12,0.021828617,1.660973773,-1.660973773,0.137377805
ABI3,0.0669,0.509203578,0.293108553,0.293108553,0.794691198,-0.055,0.811694952,0.090607155,-0.090607155,0.916155221
ABI3BP,-0.0265,0.270542649,0.567764262,-0.567764262,0.609585091,-0.245,0.28371189,0.547122463,-0.547122463,0.554143923
ABL1,-0.0525,0.089633284,1.04753069,-1.04753069,0.381304305,0.16,0.189985262,0.721280089,0.721280089,0.444871128
ABL2,0.0483,0.387834024,0.411354093,0.411354093,0.715344243,0.1,0.077207645,1.112339692,1.112339692,0.275790766
ABLIM1,-0.2526,0.193496579,0.713326708,-0.713326708,0.529301722,0.15,0.858186026,0.066418561,0.066418561,0.939157354
ABLIM2,-0.1744,0.240360071,0.619137677,-0.619137677,0.578634619,-0.23,0.130082417,0.885781403,-0.885781403,0.367260997
ABLIM3,0.27075,0.772722089,0.111976673,0.111976673,0.926321348,-0.75,0.103548653,0.984855547,-0.984855547,0.322980902
ABR,0.0928,0.132642208,0.877318258,0.877318258,0.449976097,0.205,0.119114046,0.924037024,0.924037024,0.349631587
ABRACL,0.359,0.3905598,0.408312461,0.408312461,0.717059031,0.11,0.147251429,0.831940481,0.831940481,0.38874989
ABRAXAS1,0.068,0.804019559,0.094733386,0.094733386,0.937164345,0,0.630183484,0.200532983,0,0.814968112
ABRAXAS2,-0.103675,0.015227731,1.817364801,-1.817364801,0.172401477,0.065,0.913042782,0.039508872,0.039508872,0.964007664
ABT1,0.08775,0.081508088,1.088799292,1.088799292,0.362122256,0.105,0.135138057,0.86922233,0.86922233,0.371498723
ABTB2,-0.024,0.758977061,0.11977135,-0.11977135,0.920284367,-0.53,0.055384612,1.256610881,-1.256610881,0.228354944
ACAA1,0.0565,0.698673618,0.155725656,0.155725656,0.89494531,-0.04,0.132544638,0.877637836,-0.877637836,0.370415856
ACAA2,-0.041,0.936708503,0.028395537,-0.028395537,0.979584829,0.08,0.361114353,0.442355249,0.442355249,0.623782104
ACACA,0.2965,0.025857212,1.5874183,1.5874183,0.217403384,0.355,6.04E-04,3.219272962,3.219272962,0.018723749
ACACB,-0.0286,0.880975593,0.055036124,-0.055036124,0.961758418,-0.31,0.115643087,0.936880325,-0.936880325,0.344002259
