Gene,Feature,FoldChange.phos,pval.phos,logp.phos,FDR.phos,logfdr.phos,signedlogp.phos,signedfdr.phos,FoldChange.prot,pval.prot,logp.prot,FDR.prot,logfdr.prot,signedlogp.prot,signedfdr.prot,Comparison
ABCF1,ABCF1-S22,-0.299,4.43E-05,4.353934423,0.007852161,2.105010785,-4.353934423,-2.105010785,-0.13755,0.06899535,1.161180177,0.204705028,0.68887149,-1.161180177,-0.68887149,CNV-low
ABLIM1,ABLIM1-S352,0.39085,8.81E-04,3.055210979,0.04967601,1.303853293,3.055210979,1.303853293,0.2944,0.019161033,1.717581087,0.089890236,1.046287478,1.717581087,1.046287478,CNV-low
ACTL6A,ACTL6A-S233,-0.3196,2.05E-04,3.688797683,0.02057083,1.686748179,-3.688797683,-1.686748179,-0.093055,0.200272091,0.698379567,0.397530958,0.400629045,-0.698379567,-0.400629045,CNV-low
ADNP,ADNP-S98,-0.53867,2.20E-05,4.658042666,0.005112627,2.291355877,-4.658042666,-2.291355877,-0.07122,0.129251295,0.888565097,0.304773938,0.516022173,-0.888565097,-0.516022173,CNV-low
AHNAK,AHNAK-S3485,0.3895,3.71E-04,3.430298029,0.030090914,1.521564618,3.430298029,1.521564618,0.3194,0.027908838,1.554258238,0.114292581,0.941981958,1.554258238,0.941981958,CNV-low
AKIRIN2,AKIRIN2-S21,-0.747,2.72E-05,4.56622906,0.005755815,2.239893199,-4.56622906,-2.239893199,-0.2048,0.190250926,0.720673222,0.386229066,0.413155046,-0.720673222,-0.413155046,CNV-low
AKNA,AKNA-S303,-0.56,1.66E-04,3.77984598,0.018075465,1.742910526,-3.77984598,-1.742910526,-0.0685,0.324003719,0.489450005,0.532606723,0.273593356,-0.489450005,-0.273593356,CNV-low
ANKLE2,ANKLE2-S528,-0.731,4.01E-04,3.397269636,0.031437418,1.502553137,-3.397269636,-1.502553137,-0.16975,0.100220161,0.999044904,0.258838895,0.586970464,-0.999044904,-0.586970464,CNV-low
ANKLE2,ANKLE2-S259,-0.50875,4.34E-04,3.362452989,0.033094961,1.480238122,-3.362452989,-1.480238122,-0.16975,0.100220161,0.999044904,0.258838895,0.586970464,-0.999044904,-0.586970464,CNV-low
ANKRD17,ANKRD17-S1696,-0.337,3.94E-04,3.40498839,0.031052611,1.507901878,-3.40498839,-1.507901878,-0.0803,0.057352803,1.241445349,0.182662406,0.738350825,-1.241445349,-0.738350825,CNV-low
ANKRD17,ANKRD17-S1700,-0.284675,3.30E-05,4.480968087,0.006602255,2.180307696,-4.480968087,-2.180307696,-0.0803,0.057352803,1.241445349,0.182662406,0.738350825,-1.241445349,-0.738350825,CNV-low
API5,API5-S464,-0.6184425,0.000107457,3.968764992,0.013905959,1.85679907,-3.968764992,-1.85679907,-0.05266,0.241524522,0.61703877,0.445328841,0.351319178,-0.61703877,-0.351319178,CNV-low
ARFGAP1,ARFGAP1-T189,-0.285,1.77E-04,3.752203818,0.018911925,1.723264273,-3.752203818,-1.723264273,-0.09371,0.175059571,0.75681414,0.36664607,0.435752966,-0.75681414,-0.435752966,CNV-low
ARHGAP29,ARHGAP29-S1019,-0.7215,5.93E-04,3.227069145,0.038646648,1.412888164,-3.227069145,-1.412888164,-0.2021,0.02042844,1.689764805,0.093518398,1.029102942,-1.689764805,-1.029102942,CNV-low
ARHGAP29,ARHGAP29-S591,-0.8295,5.20E-04,3.283593624,0.036202718,1.441258827,-3.283593624,-1.441258827,-0.2021,0.02042844,1.689764805,0.093518398,1.029102942,-1.689764805,-1.029102942,CNV-low
ARID2,ARID2-S1391,-0.5915,7.84E-04,3.105499195,0.04642035,1.333291585,-3.105499195,-1.333291585,-0.17835,0.01052348,1.97784062,0.060985847,1.21477094,-1.97784062,-1.21477094,CNV-low
ARPC5L,ARPC5L-S64,-0.44525,7.82E-05,4.106740239,0.011298571,1.946976473,-4.106740239,-1.946976473,0.10725,0.191981085,0.716741557,0.388134891,0.411017315,0.716741557,0.411017315,CNV-low
ATN1,ATN1-S645,-0.17835,3.64E-04,3.438923921,0.029799407,1.525792385,-3.438923921,-1.525792385,-0.02,0.789382688,0.102712402,0.889643374,0.050784051,-0.102712402,-0.050784051,CNV-low
ATR,ATR-T1989,-0.461,3.73E-04,3.428601904,0.030137648,1.520890651,-3.428601904,-1.520890651,-0.04665,0.472050696,0.326011358,0.66720291,0.175742069,-0.326011358,-0.175742069,CNV-low
ATXN2L,ATXN2L-S594,-0.2119,7.91E-04,3.10205954,0.046686296,1.33081058,-3.10205954,-1.33081058,-0.0822,0.016521682,1.78194573,0.0816312,1.088143821,-1.78194573,-1.088143821,CNV-low
BAZ1B,BAZ1B-S349,-0.845885,8.61E-06,5.064937402,0.002641707,2.578115356,-5.064937402,-2.578115356,-0.2167,0.010217063,1.990673929,0.0597544,1.223630112,-1.990673929,-1.223630112,CNV-low
BIN2,BIN2-T510,-0.63725,8.85E-05,4.053236177,0.012172943,1.914604419,-4.053236177,-1.914604419,-0.336195,0.016215362,1.790073353,0.080449268,1.094477902,-1.790073353,-1.094477902,CNV-low
BLM,BLM-S1296,-0.690995,4.33E-04,3.363979805,0.033068644,1.480583617,-3.363979805,-1.480583617,-0.0272,0.411138811,0.386011525,0.613928393,0.211882281,-0.386011525,-0.211882281,CNV-low
BOD1L1,BOD1L1-S2475,-0.2895,6.91E-05,4.160406097,0.010328552,1.985960556,-4.160406097,-1.985960556,0.0324,0.417012458,0.379850971,0.618334887,0.20877625,0.379850971,0.20877625,CNV-low
BOD1L1,BOD1L1-S3019,-0.319,4.58E-06,5.338843532,0.001686486,2.773017292,-5.338843532,-2.773017292,0.0324,0.417012458,0.379850971,0.618334887,0.20877625,0.379850971,0.20877625,CNV-low
BOD1L1,BOD1L1-S2905,-0.7105,2.52E-06,5.598634434,0.001113665,2.953245473,-5.598634434,-2.953245473,0.0324,0.417012458,0.379850971,0.618334887,0.20877625,0.379850971,0.20877625,CNV-low
BPTF,BPTF-S1105,-0.211,2.62E-04,3.582187087,0.024459619,1.611550318,-3.582187087,-1.611550318,0.0146425,0.261334933,0.582802533,0.466162823,0.331462365,0.582802533,0.331462365,CNV-low
BUB3,BUB3-T2,-0.661,7.60E-04,3.119238861,0.045710188,1.33998699,-3.119238861,-1.33998699,-0.0821,0.057352078,1.241450843,0.182662406,0.738350825,-1.241450843,-0.738350825,CNV-low
BUD13,BUD13-S325,-0.263385,3.68E-05,4.433825685,0.0070353,2.152717364,-4.433825685,-2.152717364,-0.075,0.120827258,0.91783508,0.292192098,0.534331533,-0.91783508,-0.534331533,CNV-low
C17orf49,C17orf49-S96,-0.7990675,2.11E-06,5.676436553,9.81E-04,3.008383607,-5.676436553,-3.008383607,-0.1098,0.185073084,0.732656738,0.379624912,0.420645296,-0.732656738,-0.420645296,CNV-low
C18orf25,C18orf25-S69,-0.32532,6.24E-04,3.205039064,0.040056765,1.397324125,-3.205039064,-1.397324125,-0.18725,0.009344318,2.029452377,0.05613875,1.250737264,-2.029452377,-1.250737264,CNV-low
C2orf49,C2orf49-T198,-0.51125,5.07E-07,6.295200759,3.59E-04,3.445430203,-6.295200759,-3.445430203,0.033865,0.546687816,0.262260605,0.724677511,0.139855216,0.262260605,0.139855216,CNV-low
C5orf30,C5orf30-S25,-0.8045,3.41E-09,8.467770433,3.54E-05,4.451290634,-8.467770433,-4.451290634,-0.0031,0.707515794,0.150263861,0.838542994,0.076474665,-0.150263861,-0.076474665,CNV-low
C6orf106,C6orf106-S222,-0.823,1.01E-05,4.9969504,0.002950534,2.530099434,-4.9969504,-2.530099434,-0.2105,0.039578363,1.402542168,0.143305551,0.843736987,-1.402542168,-0.843736987,CNV-low
C6orf106,C6orf106-S215,-0.6155,1.33E-04,3.87740551,0.015935868,1.797624271,-3.87740551,-1.797624271,-0.2105,0.039578363,1.402542168,0.143305551,0.843736987,-1.402542168,-0.843736987,CNV-low
CAP1,CAP1-S34,-0.6535,7.46E-05,4.127357275,0.010926063,1.961536305,-4.127357275,-1.961536305,0.0505,0.371430895,0.430121975,0.579993399,0.23657695,0.430121975,0.23657695,CNV-low
CBX3,CBX3-S95,-0.263675,2.61E-05,4.583835201,0.005595379,2.252170507,-4.583835201,-2.252170507,-0.208725,0.008711131,2.059925456,0.053467128,1.271913144,-2.059925456,-1.271913144,CNV-low
CBX3,CBX3-S93,-0.26785,2.26E-04,3.646176964,0.021935021,1.658861954,-3.646176964,-1.658861954,-0.208725,0.008711131,2.059925456,0.053467128,1.271913144,-2.059925456,-1.271913144,CNV-low
CBX3,CBX3-S97,-0.2761,6.50E-07,6.187377845,4.29E-04,3.367571511,-6.187377845,-3.367571511,-0.208725,0.008711131,2.059925456,0.053467128,1.271913144,-2.059925456,-1.271913144,CNV-low
CBX4,CBX4-S291,-0.567,1.77E-04,3.753161878,0.018911925,1.723264273,-3.753161878,-1.723264273,-0.12705,0.059168162,1.227911923,0.186692477,0.728873181,-1.227911923,-0.728873181,CNV-low
CCDC137,CCDC137-S19,-0.66305,7.11E-04,3.147980855,0.043948865,1.357052333,-3.147980855,-1.357052333,-0.18965,0.02818027,1.550054851,0.115001934,0.939294857,-1.550054851,-0.939294857,CNV-low
CCDC78,CCDC78-S163,1.2485,3.84E-04,3.415782807,0.030707225,1.512759435,3.415782807,1.512759435,0.4175,0.042371425,1.372926932,0.149652266,0.824916702,1.372926932,0.824916702,CNV-low
CCDC86,CCDC86-S58,-0.49635,6.61E-04,3.180061634,0.041759509,1.379244615,-3.180061634,-1.379244615,-0.05235,0.119197548,0.92373268,0.290000708,0.537600942,-0.92373268,-0.537600942,CNV-low
CCDC86,CCDC86-S66,-0.49535,8.14E-04,3.089110893,0.047567313,1.322691384,-3.089110893,-1.322691384,-0.05235,0.119197548,0.92373268,0.290000708,0.537600942,-0.92373268,-0.537600942,CNV-low
