ID,Gene,FoldChange.phos,pval.phos,logp.phos,logfdr.phos,signedlogp.phos,FDR.phos,FoldChange.rna,pval.rna,logp.rna,signedlogp.rna,FDR.rna
AAAS-S495,AAAS,0.1815,0.144054659,0.841472691,0.116119331,0.841472691,0.765386274,0.06,0.493329593,0.306862832,0.306862832,0.731732113
AAAS-Y485,AAAS,0.1815,0.685714286,0.163856803,0.011356753,0.163856803,0.974189057,0.06,0.493329593,0.306862832,0.306862832,0.731732113
AAED1-S12,AAED1,0.148,0.399403468,0.398588169,0.044548424,0.398588169,0.902509072,-0.33,0.028972045,1.538020854,-1.538020854,0.160778016
AAK1-S14,AAK1,-0.893,0.051352981,1.289434338,0.205146486,-1.289434338,0.623524488,-0.32,0.052281816,1.281649332,-1.281649332,0.221892144
AAK1-S18,AAK1,-0.1945,0.07914158,1.101595286,0.16574848,-1.101595286,0.682733983,-0.32,0.052281816,1.281649332,-1.281649332,0.221892144
AAK1-S20,AAK1,-0.23824,0.011211059,1.950353354,0.355286725,-1.950353354,0.441279014,-0.32,0.052281816,1.281649332,-1.281649332,0.221892144
AAK1-S21,AAK1,-0.0333,0.787318402,0.103849598,0.004425914,-0.103849598,0.989860709,-0.32,0.052281816,1.281649332,-1.281649332,0.221892144
AAK1-S618,AAK1,-0.1088,0.374937154,0.426041521,0.049962274,-0.426041521,0.891328362,-0.32,0.052281816,1.281649332,-1.281649332,0.221892144
AAK1-S623,AAK1,0.2098,0.168486432,0.773435065,0.102988597,0.773435065,0.788880831,-0.32,0.052281816,1.281649332,-1.281649332,0.221892144
AAK1-S624,AAK1,-0.01901,0.130104588,0.885707389,0.126561197,-0.885707389,0.747203338,-0.32,0.052281816,1.281649332,-1.281649332,0.221892144
AAK1-S637,AAK1,-0.1945,0.220258734,0.657066861,0.087057326,-0.657066861,0.81835676,-0.32,0.052281816,1.281649332,-1.281649332,0.221892144
AAK1-S652,AAK1,-0.58,0.018635567,1.729657381,0.295996042,-1.729657381,0.505829272,-0.32,0.052281816,1.281649332,-1.281649332,0.221892144
AAK1-S670,AAK1,-0.04875,0.716750887,0.144631761,0.00953154,-0.144631761,0.978291906,-0.32,0.052281816,1.281649332,-1.281649332,0.221892144
AAK1-S676,AAK1,-0.3125,0.628205128,0.201898523,0.015934998,-0.201898523,0.963973292,-0.32,0.052281816,1.281649332,-1.281649332,0.221892144
AAK1-S678,AAK1,-0.17345,0.113382627,0.945453485,0.138681417,-0.945453485,0.726638798,-0.32,0.052281816,1.281649332,-1.281649332,0.221892144
AAK1-S682,AAK1,-0.2822,0.034797233,1.458455294,0.239060828,-1.458455294,0.576685686,-0.32,0.052281816,1.281649332,-1.281649332,0.221892144
AAK1-S690,AAK1,-0.079,0.797202797,0.098431186,0.00409785,-0.098431186,0.990608728,-0.32,0.052281816,1.281649332,-1.281649332,0.221892144
AAK1-S693,AAK1,-1.43,0.023081025,1.6367449,0.275676542,-1.6367449,0.530058079,-0.32,0.052281816,1.281649332,-1.281649332,0.221892144
AAK1-S731,AAK1,-0.2875,0.003822413,2.417662354,0.473383882,-2.417662354,0.336214251,-0.32,0.052281816,1.281649332,-1.281649332,0.221892144
AAK1-S797,AAK1,1.02,0.120948617,0.917399095,0.132966402,0.917399095,0.736264055,-0.32,0.052281816,1.281649332,-1.281649332,0.221892144
AAK1-S831,AAK1,-0.2935,0.685714286,0.163856803,0.011356753,-0.163856803,0.974189057,-0.32,0.052281816,1.281649332,-1.281649332,0.221892144
AAK1-S846,AAK1,0.2269,0.881154194,0.054948087,0,0.054948087,1,-0.32,0.052281816,1.281649332,-1.281649332,0.221892144
