gene_name,gene_claim_name,entrez_id,interaction_claim_source,interaction_types,drug_claim_name,drug_claim_primary_name,drug_name,drug_chembl_id,PMIDs
ARAF,ARAF,369,MyCancerGenome,inhibitor,LGX818,LGX818,ENCORAFENIB,CHEMBL3301612,FALSE
ARAF,ARAF,369,CIViC,FALSE,TRAMETINIB,TRAMETINIB,TRAMETINIB,CHEMBL2103875,24569458
ARAF,ARAF1,369,ChemblInteractions,inhibitor,CHEMBL3545195,LY-3009120,LY-3009120,CHEMBL3545195,FALSE
ARAF,ARAF1,369,ChemblInteractions,inhibitor,CHEMBL3348923,MLN-2480,MLN-2480,CHEMBL3348923,FALSE
ARAF,1933,369,GuideToPharmacologyInteractions,inhibitor,8943,LY3009120,LY-3009120,CHEMBL3545195,FALSE
ARAF,1933,369,GuideToPharmacologyInteractions,inhibitor,8958,BGB-283,BGB-283,CHEMBL3545246,FALSE
ARAF,ARAF,369,MyCancerGenomeClinicalTrial,inhibitor,1096708-71-2,1096708-71-2,MLN-2480,CHEMBL3348923,FALSE
ARAF,ARAF,369,MyCancerGenome,inhibitor,XL281,XL281,XL-281,CHEMBL3545027,FALSE
ARAF,ARAF,369,MyCancerGenome,inhibitor,SORAFENIB,SORAFENIB,SORAFENIB,CHEMBL1336,FALSE
ARAF,ARAF,369,MyCancerGenome,inhibitor,REGORAFENIB,REGORAFENIB,REGORAFENIB,CHEMBL1946170,FALSE
ARAF,ARAF,369,CIViC,FALSE,SORAFENIB,SORAFENIB,SORAFENIB,CHEMBL1336,24569458
ARAF,P10398,369,TdgClinicalTrial,FALSE,XL281,XL281,XL-281,CHEMBL3545027,FALSE
ARAF,ARAF,369,CGI,FALSE,Sorafenib,Sorafenib,SORAFENIB,CHEMBL1336,"2,456,945,872,763"
ARAF,ARAF,369,OncoKB,FALSE,Sorafenib,Sorafenib,SORAFENIB,CHEMBL1336,"245,694,582,656,687,000,000,000"
ARAF,ARAF,369,DoCM,FALSE,SORAFENIB,SORAFENIB,SORAFENIB,CHEMBL1336,"2,661,901,124,569,450"
BCR,BCR,613,FDA,FALSE,Nilotinib,Nilotinib,NILOTINIB,CHEMBL255863,FALSE
BCR,BCR,613,FDA,FALSE,Imatinib,Imatinib,IMATINIB,CHEMBL941,FALSE
BCR,BCR,613,FDA,FALSE,Ponatinib,Ponatinib,PONATINIB,CHEMBL1171837,FALSE
BCR,BCR,613,FDA,FALSE,Blinatumomab,Blinatumomab,BLINATUMOMAB,CHEMBL1742992,FALSE
BCR,BCR,613,FDA,FALSE,Bosutinib,Bosutinib,BOSUTINIB,CHEMBL288441,FALSE
BCR,BCR,613,TALC,inhibitor,IMATINIB,IMATINIB,IMATINIB,CHEMBL941,FALSE
BCR,BCR,613,FDA,FALSE,Omacetaxine,Omacetaxine,FALSE,FALSE,FALSE
BCR,BCR,613,TALC,inhibitor,DASATINIB,DASATINIB,DASATINIB,CHEMBL1421,FALSE
BCR,BCR1,613,ChemblInteractions,inhibitor,CHEMBL2105708,PONATINIB HYDROCHLORIDE,PONATINIB HYDROCHLORIDE,CHEMBL2105708,FALSE
BCR,BCR,613,TALC,inhibitor,PONATINIB,PONATINIB,PONATINIB,CHEMBL1171837,FALSE
BCR,BCR,613,NCI,FALSE,HERBIMYCIN A,HERBIMYCIN A,HERBIMYCIN,CHEMBL479533,1515646
BCR,BCR,613,FDA,FALSE,Busulfan,Busulfan,BUSULFAN,CHEMBL820,FALSE
BCR,BCR,613,TALC,inhibitor,SARACATINIB,SARACATINIB,SARACATINIB,CHEMBL217092,FALSE
BCR,BCR,613,FDA,FALSE,Dasatinib,Dasatinib,DASATINIB,CHEMBL1421,FALSE
BLM,BLM,641,NCI,FALSE,HYDROXYUREA,HYDROXYUREA,HYDROXYUREA,CHEMBL467,18504617
BLM,BLM,641,NCI,FALSE,TRICHOSTATIN A,TRICHOSTATIN A,TRICHOSTATIN,CHEMBL99,16177181
BRD2,1944,6046,GuideToPharmacologyInteractions,inhibitor,7524,XD14,FALSE,FALSE,FALSE
BRD2,1944,6046,GuideToPharmacologyInteractions,inhibitor,7808,ET BROMODOMAIN INHIBITOR,FALSE,FALSE,FALSE
BRD2,1944,6046,GuideToPharmacologyInteractions,inhibitor,7514,GW841819X,CHEMBL2153434,CHEMBL2153434,FALSE
BRD2,1944,6046,GuideToPharmacologyInteractions,inhibitor,7518,I-BET151,CHEMBL2017291,CHEMBL2017291,FALSE
BRD2,BRD2,6046,NCI,FALSE,PMA,PMA,PHORBOL MYRISTATE ACETATE,CHEMBL279115,9528865
BRD2,1944,6046,GuideToPharmacologyInteractions,inhibitor,7522,COMPOUND 38 [PMID: 24000170],FALSE,FALSE,FALSE
