application_id,applicant_id,term,decision,enrolled,is_degree_seeking,is_transfer,residency
APP0001,APPL0001,2023-Fall,denied,False,False,True,international
APP0002,APPL0002,2023-Fall,admitted,True,False,True,international
APP0003,APPL0003,2023-Fall,denied,False,False,True,international
APP0004,APPL0004,2023-Fall,admitted,True,False,True,in-state
APP0005,APPL0005,2023-Fall,denied,False,False,True,international
APP0006,APPL0006,2024-Fall,admitted,True,True,True,in-state
APP0007,APPL0007,2023-Fall,admitted,True,True,True,in-state
APP0008,APPL0008,2024-Fall,denied,False,True,True,out-of-state
APP0009,APPL0009,2024-Fall,admitted,False,True,True,in-state
APP0010,APPL0010,2024-Fall,admitted,True,True,True,international
APP0011,APPL0011,2024-Fall,admitted,True,True,True,international
APP0012,APPL0012,2023-Fall,admitted,False,True,True,international
APP0013,APPL0013,2024-Fall,admitted,True,True,False,international
APP0014,APPL0014,2023-Fall,admitted,True,True,False,out-of-state
APP0015,APPL0015,2023-Fall,waitlisted,False,True,False,in-state
APP0016,APPL0016,2024-Fall,admitted,True,True,False,in-state
APP0017,APPL0017,2024-Fall,admitted,True,True,False,international
APP0018,APPL0018,2023-Fall,waitlisted,False,True,False,international
APP0019,APPL0019,2023-Fall,denied,False,True,False,in-state
APP0020,APPL0020,2023-Fall,admitted,True,True,False,international
APP0021,APPL0021,2023-Fall,admitted,False,True,False,in-state
APP0022,APPL0022,2024-Fall,denied,False,True,False,out-of-state
APP0023,APPL0023,2024-Fall,admitted,True,True,False,in-state
APP0024,APPL0024,2024-Fall,denied,False,True,False,international
APP0025,APPL0025,2023-Fall,admitted,True,True,False,international
APP0026,APPL0026,2024-Fall,denied,False,True,False,international
APP0027,APPL0027,2024-Fall,denied,False,True,False,out-of-state
APP0028,APPL0028,2024-Fall,admitted,False,True,False,in-state
APP0029,APPL0029,2023-Fall,denied,False,True,False,in-state
APP0030,APPL0030,2024-Fall,denied,False,True,False,international
APP0031,APPL0031,2024-Fall,admitted,True,True,False,international
APP0032,APPL0032,2023-Fall,admitted,True,True,False,international
APP0033,APPL0033,2024-Fall,denied,False,True,False,international
APP0034,APPL0034,2023-Fall,admitted,True,True,False,out-of-state
APP0035,APPL0035,2024-Fall,admitted,True,True,False,international
APP0036,APPL0036,2023-Fall,denied,False,True,False,international
APP0037,APPL0037,2023-Fall,admitted,True,True,False,in-state
APP0038,APPL0038,2023-Fall,admitted,True,True,False,international
APP0039,APPL0039,2024-Fall,admitted,True,True,False,out-of-state
APP0040,APPL0040,2023-Fall,admitted,True,True,False,in-state
APP0041,APPL0041,2023-Fall,denied,False,True,False,international
APP0042,APPL0042,2023-Fall,denied,False,True,False,international
APP0043,APPL0043,2024-Fall,admitted,True,True,False,international
APP0044,APPL0044,2024-Fall,waitlisted,False,True,False,in-state
APP0045,APPL0045,2023-Fall,waitlisted,False,True,False,international
APP0046,APPL0046,2024-Fall,admitted,False,True,False,out-of-state
APP0047,APPL0047,2024-Fall,waitlisted,False,True,False,in-state
APP0048,APPL0048,2023-Fall,admitted,True,True,False,international
APP0049,APPL0049,2023-Fall,denied,False,True,False,in-state
APP0050,APPL0050,2023-Fall,admitted,True,True,False,in-state
APP0051,APPL0051,2024-Fall,waitlisted,False,True,False,in-state
APP0052,APPL0052,2024-Fall,denied,False,True,False,international
APP0053,APPL0053,2024-Fall,admitted,True,True,False,in-state
APP0054,APPL0054,2024-Fall,denied,False,True,False,in-state
APP0055,APPL0055,2024-Fall,admitted,True,True,False,out-of-state
APP0056,APPL0056,2023-Fall,admitted,False,True,False,international
APP0057,APPL0057,2023-Fall,denied,False,True,False,in-state
APP0058,APPL0058,2023-Fall,admitted,True,True,False,in-state
APP0059,APPL0059,2023-Fall,admitted,True,True,False,out-of-state
APP0060,APPL0060,2023-Fall,admitted,True,True,False,out-of-state
APP0061,APPL0061,2023-Fall,denied,False,True,False,in-state
APP0062,APPL0062,2023-Fall,denied,False,True,False,in-state
APP0063,APPL0063,2023-Fall,waitlisted,False,True,False,in-state
APP0064,APPL0064,2024-Fall,admitted,True,True,False,in-state
APP0065,APPL0065,2024-Fall,admitted,True,True,False,out-of-state
APP0066,APPL0066,2024-Fall,waitlisted,False,True,False,out-of-state
APP0067,APPL0067,2024-Fall,admitted,False,True,False,in-state
APP0068,APPL0068,2023-Fall,admitted,True,True,False,international
APP0069,APPL0069,2023-Fall,denied,False,True,False,international
APP0070,APPL0070,2024-Fall,admitted,True,True,False,international
APP0071,APPL0071,2023-Fall,waitlisted,False,True,False,in-state
APP0072,APPL0072,2023-Fall,waitlisted,False,True,False,in-state
APP0073,APPL0073,2023-Fall,admitted,True,True,False,out-of-state
APP0074,APPL0074,2023-Fall,admitted,False,True,False,international
APP0075,APPL0075,2023-Fall,denied,False,True,False,out-of-state
APP0076,APPL0076,2024-Fall,denied,False,True,False,out-of-state
APP0077,APPL0077,2023-Fall,admitted,True,True,False,out-of-state
APP0078,APPL0078,2024-Fall,admitted,True,True,False,out-of-state
APP0079,APPL0079,2023-Fall,admitted,False,True,False,in-state
APP0080,APPL0080,2023-Fall,admitted,False,True,False,in-state
