enrollment_id,student_id,term,is_enrolled
ENR0001,STU0001,2023-Fall,False
ENR0002,STU0001,2024-Fall,False
ENR0003,STU0002,2023-Fall,True
ENR0004,STU0002,2024-Fall,True
ENR0005,STU0003,2023-Fall,True
ENR0006,STU0003,2024-Fall,True
ENR0007,STU0004,2023-Fall,False
ENR0008,STU0004,2024-Fall,True
ENR0009,STU0005,2023-Fall,True
ENR0010,STU0005,2024-Fall,False
ENR0011,STU0006,2023-Fall,True
ENR0012,STU0006,2024-Fall,True
ENR0013,STU0007,2023-Fall,True
ENR0014,STU0007,2024-Fall,True
ENR0015,STU0008,2023-Fall,False
ENR0016,STU0008,2024-Fall,False
ENR0017,STU0009,2023-Fall,True
ENR0018,STU0009,2024-Fall,True
ENR0019,STU0010,2023-Fall,True
ENR0020,STU0010,2024-Fall,True
ENR0021,STU0011,2023-Fall,True
ENR0022,STU0011,2024-Fall,True
ENR0023,STU0012,2023-Fall,False
ENR0024,STU0012,2024-Fall,True
ENR0025,STU0013,2023-Fall,True
ENR0026,STU0013,2024-Fall,False
ENR0027,STU0014,2023-Fall,True
ENR0028,STU0014,2024-Fall,True
ENR0029,STU0015,2023-Fall,True
ENR0030,STU0015,2024-Fall,True
ENR0031,STU0016,2023-Fall,False
ENR0032,STU0016,2024-Fall,True
ENR0033,STU0017,2023-Fall,True
ENR0034,STU0017,2024-Fall,True
ENR0035,STU0018,2023-Fall,False
ENR0036,STU0018,2024-Fall,True
ENR0037,STU0019,2023-Fall,False
ENR0038,STU0019,2024-Fall,True
ENR0039,STU0020,2023-Fall,False
ENR0040,STU0020,2024-Fall,True
ENR0041,STU0021,2023-Fall,True
ENR0042,STU0021,2024-Fall,True
ENR0043,STU0022,2023-Fall,False
ENR0044,STU0022,2024-Fall,True
ENR0045,STU0023,2023-Fall,True
ENR0046,STU0023,2024-Fall,True
ENR0047,STU0024,2023-Fall,True
ENR0048,STU0024,2024-Fall,True
ENR0049,STU0025,2023-Fall,True
ENR0050,STU0025,2024-Fall,True
ENR0051,STU0026,2023-Fall,True
ENR0052,STU0026,2024-Fall,True
ENR0053,STU0027,2023-Fall,True
ENR0054,STU0027,2024-Fall,True
ENR0055,STU0028,2023-Fall,True
ENR0056,STU0028,2024-Fall,True
ENR0057,STU0029,2023-Fall,True
ENR0058,STU0029,2024-Fall,True
ENR0059,STU0030,2023-Fall,True
ENR0060,STU0030,2024-Fall,True
ENR0061,STU0031,2023-Fall,True
ENR0062,STU0031,2024-Fall,False
ENR0063,STU0032,2023-Fall,True
ENR0064,STU0032,2024-Fall,True
ENR0065,STU0033,2023-Fall,True
ENR0066,STU0033,2024-Fall,False
ENR0067,STU0034,2023-Fall,True
ENR0068,STU0034,2024-Fall,False
ENR0069,STU0035,2023-Fall,True
ENR0070,STU0035,2024-Fall,False
ENR0071,STU0036,2023-Fall,True
ENR0072,STU0036,2024-Fall,False
