investment_id,fund_id,principal,return_amount,is_realized,period
INV0001,FUND010,1194889.72,14675.64,False,2024-Q1
INV0002,FUND010,128451.76,11970.36,False,2024-Q2
INV0003,FUND009,1320443.5,146262.89,False,2023-Q4
INV0004,FUND010,899975.72,89607.83,False,2023-Q3
INV0005,FUND008,728524.06,33995.79,False,2023-Q3
INV0006,FUND003,693117.14,59818.85,False,2024-Q1
INV0007,FUND007,1636453.77,115387.38,False,2024-Q2
INV0008,FUND002,663308.46,30220.41,False,2024-Q2
INV0009,FUND009,1658608.05,16796.09,False,2024-Q2
INV0010,FUND007,155697.97,10436.18,False,2024-Q2
INV0011,FUND008,1531981.55,49623.04,False,2023-Q4
INV0012,FUND005,904326.39,78502.32,False,2023-Q3
INV0013,FUND001,1947636.29,228690.41,True,2023-Q4
INV0014,FUND003,655962.77,14554.45,True,2024-Q2
INV0015,FUND002,488166.29,75482.67,True,2023-Q3
INV0016,FUND008,1896768.45,234504.22,True,2023-Q4
INV0017,FUND008,1868673.47,124636.5,True,2024-Q1
INV0018,FUND007,1677711.69,296685.09,True,2023-Q4
INV0019,FUND008,1124966.9,91542.79,True,2023-Q4
INV0020,FUND002,588682.44,86183.69,True,2024-Q2
INV0021,FUND006,1871784.37,189495.76,True,2023-Q3
INV0022,FUND005,1465799.42,225727.46,True,2024-Q2
INV0023,FUND003,920767.42,89769.87,True,2024-Q1
INV0024,FUND009,1537601.72,123551.85,True,2024-Q1
INV0025,FUND004,1962510.53,114235.55,True,2024-Q2
INV0026,FUND004,1719225.3,147378.9,True,2024-Q1
INV0027,FUND008,1425194.37,213530.35,True,2024-Q2
INV0028,FUND003,1015890.87,26335.08,True,2024-Q1
INV0029,FUND002,1754671.23,158708.25,True,2024-Q2
INV0030,FUND001,1458765.46,124865.33,True,2023-Q4
INV0031,FUND002,965506.67,169033.74,True,2024-Q1
INV0032,FUND010,1400773.97,173659.36,True,2024-Q1
INV0033,FUND009,791018.33,55897.93,True,2024-Q2
INV0034,FUND009,120003.24,3713.78,True,2024-Q1
INV0035,FUND004,1506194.42,134707.15,True,2023-Q3
INV0036,FUND002,915173.18,119924.46,True,2023-Q3
INV0037,FUND001,682530.6,19779.11,True,2024-Q1
INV0038,FUND006,889839.24,52564.22,True,2024-Q2
INV0039,FUND010,1379510.72,67332.68,True,2023-Q4
INV0040,FUND002,1238508.98,100575.71,True,2023-Q4
INV0041,FUND008,1830016.58,78505.58,True,2024-Q2
INV0042,FUND005,946162.47,119873.6,True,2024-Q2
INV0043,FUND005,1371341.23,62088.98,True,2024-Q2
INV0044,FUND006,1975920.81,134095.23,True,2024-Q2
INV0045,FUND005,940829.83,64295.81,True,2024-Q2
INV0046,FUND008,257973.87,20900.6,True,2024-Q1
INV0047,FUND010,626951.16,82685.24,True,2023-Q3
INV0048,FUND007,585236.74,64697.13,True,2023-Q3
INV0049,FUND010,1503085.7,230354.23,True,2024-Q1
INV0050,FUND004,1233776.75,94225.2,True,2023-Q4
