student_id,applicant_id,cohort_year,is_transfer,program
STU0001,APPL0002,2023,True,Engineering
STU0002,APPL0004,2023,True,Economics
STU0003,APPL0006,2024,True,Engineering
STU0004,APPL0007,2023,True,Biology
STU0005,APPL0010,2024,True,Economics
STU0006,APPL0011,2024,True,Biology
STU0007,APPL0013,2024,False,CS
STU0008,APPL0014,2023,False,Economics
STU0009,APPL0016,2024,False,Biology
STU0010,APPL0017,2024,False,Biology
STU0011,APPL0020,2023,False,Economics
STU0012,APPL0023,2024,False,History
STU0013,APPL0025,2023,False,Engineering
STU0014,APPL0031,2024,False,Biology
STU0015,APPL0032,2023,False,Engineering
STU0016,APPL0034,2023,False,Engineering
STU0017,APPL0035,2024,False,CS
STU0018,APPL0037,2023,False,Engineering
STU0019,APPL0038,2023,False,Biology
STU0020,APPL0039,2024,False,CS
STU0021,APPL0040,2023,False,Economics
STU0022,APPL0043,2024,False,Biology
STU0023,APPL0048,2023,False,CS
STU0024,APPL0050,2023,False,CS
STU0025,APPL0053,2024,False,Engineering
STU0026,APPL0055,2024,False,Economics
STU0027,APPL0058,2023,False,Biology
STU0028,APPL0059,2023,False,Biology
STU0029,APPL0060,2023,False,Engineering
STU0030,APPL0064,2024,False,Economics
STU0031,APPL0065,2024,False,Biology
STU0032,APPL0068,2023,False,Economics
STU0033,APPL0070,2024,False,Biology
STU0034,APPL0073,2023,False,Engineering
STU0035,APPL0077,2023,False,History
STU0036,APPL0078,2024,False,Biology
