txn_id,fund_id,txn_date,fiscal_period,txn_type,amount
TXN0001,FUND007,2024-06-20,FY2024,disbursement,403448.92
TXN0002,FUND004,2024-07-01,FY2025,disbursement,474488.37
TXN0003,FUND006,2024-07-09,FY2025,inflow,424159.62
TXN0004,FUND005,2024-07-06,FY2025,inflow,204788.06
TXN0005,FUND007,2024-06-29,FY2024,disbursement,96728.21
TXN0006,FUND007,2024-06-25,FY2024,disbursement,151173.99
TXN0007,FUND009,2024-06-20,FY2024,inflow,105881.16
TXN0008,FUND010,2024-07-09,FY2025,disbursement,233029.11
TXN0009,FUND008,2024-06-26,FY2024,disbursement,397073.96
TXN0010,FUND003,2024-06-22,FY2024,inflow,332263.06
TXN0011,FUND010,2024-06-30,FY2024,inflow,476047.83
TXN0012,FUND004,2024-06-29,FY2024,inflow,100365.84
TXN0013,FUND001,2024-06-21,FY2024,inflow,238093.04
TXN0014,FUND002,2024-07-04,FY2025,disbursement,315252.92
TXN0015,FUND004,2024-07-02,FY2025,disbursement,122748.24
TXN0016,FUND001,2024-06-23,FY2024,retained,110201.73
TXN0017,FUND009,2024-07-04,FY2025,inflow,125349.94
TXN0018,FUND002,2024-07-04,FY2025,inflow,232856.98
TXN0019,FUND009,2024-07-07,FY2025,disbursement,475069.76
TXN0020,FUND008,2024-07-09,FY2025,retained,446118.13
TXN0021,FUND007,2024-07-07,FY2025,disbursement,80419.8
TXN0022,FUND008,2024-07-04,FY2025,inflow,124372.63
TXN0023,FUND005,2024-07-06,FY2025,disbursement,120383.69
TXN0024,FUND008,2024-06-22,FY2024,disbursement,118012.3
TXN0025,FUND006,2024-06-30,FY2024,retained,41208.25
TXN0026,FUND003,2024-06-27,FY2024,inflow,77249.83
TXN0027,FUND004,2024-06-22,FY2024,disbursement,166109.81
TXN0028,FUND008,2024-07-03,FY2025,inflow,416612.69
TXN0029,FUND007,2024-07-08,FY2025,retained,10746.45
TXN0030,FUND010,2024-07-02,FY2025,disbursement,471428.09
TXN0031,FUND005,2024-02-16,FY2024,retained,476761.74
TXN0032,FUND007,2024-05-02,FY2024,disbursement,273520.02
TXN0033,FUND010,2023-11-21,FY2024,disbursement,137194.72
TXN0034,FUND008,2023-08-15,FY2024,inflow,334767.94
TXN0035,FUND007,2023-10-24,FY2024,retained,459851.27
TXN0036,FUND010,2024-04-30,FY2024,inflow,197616.11
TXN0037,FUND010,2023-08-14,FY2024,inflow,214877.77
TXN0038,FUND008,2023-11-02,FY2024,inflow,190172.83
TXN0039,FUND004,2024-03-20,FY2024,inflow,380853.62
TXN0040,FUND007,2023-12-21,FY2024,retained,416130.22
TXN0041,FUND005,2023-09-11,FY2024,disbursement,374763.11
TXN0042,FUND001,2024-01-27,FY2024,inflow,35240.57
TXN0043,FUND001,2023-08-16,FY2024,retained,100480.98
TXN0044,FUND001,2023-10-18,FY2024,inflow,237306.97
TXN0045,FUND002,2024-05-15,FY2024,retained,233051.96
TXN0046,FUND005,2024-02-05,FY2024,inflow,304016.5
TXN0047,FUND002,2023-10-23,FY2024,retained,54941.28
TXN0048,FUND001,2024-01-07,FY2024,disbursement,454105.05
TXN0049,FUND007,2024-02-20,FY2024,retained,99966.56
TXN0050,FUND010,2023-12-03,FY2024,inflow,386467.96
TXN0051,FUND010,2023-10-01,FY2024,retained,283400.35
TXN0052,FUND001,2024-01-25,FY2024,disbursement,331099.15
TXN0053,FUND002,2024-04-16,FY2024,disbursement,7313.42
TXN0054,FUND007,2024-04-07,FY2024,inflow,480433.0
TXN0055,FUND008,2023-10-18,FY2024,disbursement,367163.86
TXN0056,FUND005,2024-05-02,FY2024,retained,232972.01
TXN0057,FUND010,2023-12-16,FY2024,inflow,123502.09
TXN0058,FUND002,2023-12-21,FY2024,retained,122687.86
TXN0059,FUND008,2024-05-18,FY2024,disbursement,190115.66
TXN0060,FUND001,2024-04-10,FY2024,retained,91738.09
TXN0061,FUND004,2024-10-30,FY2025,retained,170829.08
TXN0062,FUND010,2025-01-27,FY2025,retained,278339.72
TXN0063,FUND009,2025-03-31,FY2025,inflow,121436.67
TXN0064,FUND007,2024-12-04,FY2025,disbursement,120921.64
TXN0065,FUND008,2025-01-13,FY2025,disbursement,224639.1
TXN0066,FUND001,2024-08-24,FY2025,inflow,202796.16
TXN0067,FUND004,2024-10-18,FY2025,disbursement,185141.2
TXN0068,FUND009,2024-12-14,FY2025,inflow,498319.1
TXN0069,FUND009,2024-10-24,FY2025,inflow,227418.89
TXN0070,FUND005,2024-10-04,FY2025,inflow,360920.88
TXN0071,FUND006,2024-08-31,FY2025,disbursement,475487.9
TXN0072,FUND003,2024-09-19,FY2025,inflow,242615.1
TXN0073,FUND010,2025-02-11,FY2025,disbursement,142216.35
TXN0074,FUND002,2025-03-02,FY2025,inflow,114514.1
TXN0075,FUND003,2024-10-17,FY2025,inflow,267533.41
TXN0076,FUND005,2024-08-12,FY2025,retained,277126.12
TXN0077,FUND003,2025-01-11,FY2025,retained,245948.47
TXN0078,FUND001,2024-12-25,FY2025,inflow,239878.39
TXN0079,FUND006,2024-09-17,FY2025,retained,126986.72
TXN0080,FUND008,2024-08-30,FY2025,retained,200953.01
TXN0081,FUND002,2024-12-26,FY2025,disbursement,27750.93
TXN0082,FUND003,2025-02-24,FY2025,disbursement,152613.92
TXN0083,FUND004,2024-08-31,FY2025,disbursement,208670.84
TXN0084,FUND010,2025-02-19,FY2025,disbursement,388071.08
TXN0085,FUND007,2024-11-24,FY2025,retained,149379.21
TXN0086,FUND010,2024-11-18,FY2025,inflow,310892.63
TXN0087,FUND010,2025-02-06,FY2025,inflow,381605.82
TXN0088,FUND004,2024-10-07,FY2025,disbursement,79371.49
TXN0089,FUND003,2024-12-20,FY2025,inflow,2335.19
TXN0090,FUND008,2025-01-24,FY2025,disbursement,146338.39
TXN0091,FUND004,2024-10-13,FY2025,disbursement,351790.79
TXN0092,FUND008,2024-08-19,FY2025,disbursement,462031.61
TXN0093,FUND010,2025-01-17,FY2025,retained,99711.79
TXN0094,FUND002,2024-12-18,FY2025,inflow,75345.71
TXN0095,FUND005,2025-02-28,FY2025,inflow,30759.38
TXN0096,FUND005,2024-12-31,FY2025,disbursement,285034.32
TXN0097,FUND005,2024-11-21,FY2025,inflow,344650.32
TXN0098,FUND007,2025-03-30,FY2025,inflow,270450.8
TXN0099,FUND008,2024-08-21,FY2025,disbursement,444822.02
TXN0100,FUND006,2025-01-02,FY2025,inflow,46572.12
