id,subnet_id,first_ip,last_ip
06e7704e-6327-445d-849c-1c9ca111c2e6,b20e102d-9334-447d-8bfa-878485d13663,10.241.214.72/8,10.128.178.118/8
07a675f9-e85b-4204-82d2-15e7c8182a73,b57b0a8f-0a00-47e7-8b0c-2e4728f93533,10.3.80.199/8,10.223.86.138/8
0948c06d-3279-46ff-93d5-1b9e23efc4f8,c196b93b-6df3-400c-a02a-333ce0623f01,10.153.155.194/8,10.21.255.254/8
0e8845e0-2994-4c9e-a1e1-8c4f9e89aad6,2fe21560-7cdc-409c-b01c-8c79492c8e3b,10.111.180.213/8,10.192.163.49/8
189eb400-ef8d-4016-9635-fa002c46b890,429cf811-e47b-4ea4-b332-d87f8fb3e282,10.16.220.73/8,10.223.242.172/8
2a7c6458-7c04-4592-866f-60523ee5e0cc,34321473-f650-4886-808c-9b2431aafc8c,10.227.245.199/8,10.196.201.157/8
2a9523ea-0206-45ec-aed6-6223ed8d39ee,862e31fa-ce44-4f58-95b7-9bf1193cb5c9,10.103.209.35/8,10.11.28.183/8
32206cb1-51e5-43e3-85b5-b4a9498f4ba0,26a23140-1cb7-4ccd-b2d7-50611eb82663,10.89.22.204/8,10.91.230.4/8
399c52ff-0415-429d-ab58-1debafe21b75,34d23111-2910-4373-a1db-cbe0fc45cc5e,10.97.117.56/8,10.241.191.20/8
403f16ba-60f8-41b1-ae84-dd06fedd9aa6,95c091f0-34e6-42a0-8c45-936cccba55c7,10.171.84.220/8,10.54.182.237/8
455ff839-68cc-497c-80cb-aec8ddd623a8,76123b94-2ae9-40c4-a4c6-03ee98d081d9,10.62.6.66/8,10.25.198.169/8
47f11b21-e69c-4f81-83f3-976759676d8b,e8da8ec5-364b-4a31-afaf-f68a206b7846,10.223.82.180/8,10.246.177.171/8
569ff367-a88d-4264-a120-0a7df9590fe7,16eaae8c-1920-4b8b-8765-f149dde8a1a6,10.174.154.178/8,10.101.177.172/8
57be167e-542f-4abf-a80e-17774fc1be0e,2f08159a-e945-4ba2-a583-431d1f8078d9,10.9.149.77/8,10.8.221.193/8
589c25ad-1995-4b8e-8224-a0ebfcee435b,25a309b3-7334-44b7-99b5-85a874d28475,10.60.31.207/8,10.41.64.146/8
61b9d28e-c3f3-4d6b-afe0-0447e3c96389,890e8f54-c93f-4f2c-9e63-5a1b3d70d9d6,10.92.0.185/8,10.120.88.95/8
64a8ec60-0b73-481e-a1a2-6247caefed79,388ee748-7b3d-4049-99b4-7e582937bbd4,10.47.18.100/8,10.71.241.179/8
6bc957ee-27a3-41ab-88e2-ab9b825424f5,623773a5-42bb-46ed-9148-374c29fd4c64,10.197.43.195/8,10.234.100.251/8
6f90737f-0336-41cf-85bc-d0f5e331e949,889127c0-f07d-4494-a1a5-14293ef6bca5,10.89.120.132/8,10.194.174.248/8
73515fe4-b990-41cf-a684-16d48c854fa2,5a4a17a5-301a-4a2b-ac62-15cda54d4dad,10.189.156.242/8,10.202.91.170/8
75264b28-d250-4fa6-9908-52557b937fa4,c42d1fec-ca09-4b4c-9763-3fd7aaf36a25,10.165.212.96/8,10.168.18.217/8
8841e96d-d84f-4b97-9df9-a0f7243bec63,4ec9c5db-8f83-4f66-9de3-45078ba25f41,10.253.0.132/8,10.123.238.229/8
8ae63b0c-9bff-4d37-99ac-cee4c241958a,d23b3313-7e36-47a0-8beb-3c80bd26afaa,10.119.246.1/8,10.216.137.103/8
8ef3f5a3-6dd4-41d4-aa32-1ee00002039a,012993ae-5d73-4aad-834b-e87a31e99d48,10.85.233.162/8,10.39.216.202/8
8f42b489-cc25-48b2-b7c4-318ca708ab2c,0807c5b3-aa6c-4108-8884-7b4948a19178,10.10.33.226/8,10.8.222.32/8
941893a8-14ce-48dd-930f-9e531fe542c0,78d951ff-a5df-4a9a-9352-05703e990324,10.237.185.102/8,10.106.196.208/8
97448b7c-7c85-4d74-a4b7-3bbe664a28ec,569e4e04-2130-4d43-9549-44eaa78187fa,10.66.226.50/8,10.68.197.8/8
