allocation_pool_id,first_ip,last_ip
589c25ad-1995-4b8e-8224-a0ebfcee435b,10.130.40.230/8,10.41.64.146/8
9f849fa8-dcbb-47cb-825a-d33106edd3fa,10.223.121.253/8,10.61.209.226/8
941893a8-14ce-48dd-930f-9e531fe542c0,10.38.19.255/8,10.106.196.208/8
06e7704e-6327-445d-849c-1c9ca111c2e6,10.241.214.72/8,10.128.178.118/8
c51be380-8316-4ef7-a5c9-8767fda6f9a8,10.29.111.109/8,10.103.41.89/8
dd308e20-c0e8-4e3a-bcb2-3f365ec14898,10.10.93.33/8,10.128.178.118/8
b66b54e8-39c5-45c2-b432-c3b97aacf474,10.141.193.117/8,10.128.178.118/8
2a9523ea-0206-45ec-aed6-6223ed8d39ee,10.187.84.224/8,10.11.28.183/8
ceb2baeb-54ec-4a05-b29e-e80ef68cfe00,10.162.194.242/8,10.104.153.88/8
bd49087a-73da-453b-944f-96db35b3bc1b,10.148.63.130/8,10.26.220.146/8
2a7c6458-7c04-4592-866f-60523ee5e0cc,10.238.178.159/8,10.196.201.157/8
c16562ef-a48d-4189-a672-7ae1129203e7,10.231.218.143/8,10.20.2.132/8
0948c06d-3279-46ff-93d5-1b9e23efc4f8,10.111.107.141/8,10.21.255.254/8
f2c784e3-2b56-4fca-b9d2-f5432b4fbce3,10.58.155.83/8,10.179.7.202/8
57be167e-542f-4abf-a80e-17774fc1be0e,10.89.59.38/8,10.8.221.193/8
c2e2303f-cf26-477e-863a-ee30ca777c66,10.213.250.211/8,10.224.71.35/8
403f16ba-60f8-41b1-ae84-dd06fedd9aa6,10.220.26.5/8,10.54.182.237/8
73515fe4-b990-41cf-a684-16d48c854fa2,10.166.172.11/8,10.202.91.170/8
61b9d28e-c3f3-4d6b-afe0-0447e3c96389,10.86.68.169/8,10.120.88.95/8
97448b7c-7c85-4d74-a4b7-3bbe664a28ec,10.189.154.231/8,10.68.197.8/8
75264b28-d250-4fa6-9908-52557b937fa4,10.44.60.27/8,10.168.18.217/8
b2fffa2a-1b31-4acf-92f2-2c41e1d5be08,10.245.160.45/8,10.16.20.109/8
c1805089-995e-40aa-a275-df98cdc50a67,10.183.20.197/8,10.211.92.37/8
8f42b489-cc25-48b2-b7c4-318ca708ab2c,10.4.62.88/8,10.8.222.32/8
e814b7f9-9a94-49d2-9ee6-7975f4bb3752,10.135.137.51/8,10.8.222.32/8
64a8ec60-0b73-481e-a1a2-6247caefed79,10.120.135.94/8,10.71.241.179/8
9ed39179-6fb6-4dcb-aa1d-d85dbf47a90b,10.38.151.48/8,10.164.202.45/8
6f90737f-0336-41cf-85bc-d0f5e331e949,10.57.210.67/8,10.194.174.248/8
de38c287-2557-4652-ae97-f49b652a1005,10.118.187.36/8,10.13.139.247/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.132.32.7/8,10.111.191.179/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.75.163.186/8,10.34.155.206/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.241.246.213/8,10.128.127.150/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.78.30.166/8,10.143.221.59/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.255.13.100/8,10.23.232.17/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.133.193.114/8,10.226.9.61/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.243.229.18/8,10.85.96.70/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.217.20.217/8,10.218.124.44/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.164.156.135/8,10.146.226.239/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.48.51.227/8,10.47.135.115/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.92.218.135/8,10.116.115.169/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.151.29.49/8,10.212.117.162/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.51.157.104/8,10.235.159.95/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.62.104.201/8,10.167.255.138/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.37.25.114/8,10.79.225.69/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.241.158.28/8,10.107.244.154/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.82.174.98/8,10.196.161.218/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.223.160.110/8,10.218.225.189/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.115.45.224/8,10.115.45.224/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.135.85.191/8,10.135.85.191/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.251.197.4/8,10.134.235.67/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.11.86.218/8,10.51.38.129/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.182.47.141/8,10.71.64.18/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.171.27.104/8,10.70.54.65/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.7.206.183/8,10.29.165.172/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.123.101.108/8,10.27.230.119/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.36.210.233/8,10.38.9.67/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.135.119.166/8,10.167.142.194/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.52.196.159/8,10.164.140.180/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.79.178.163/8,10.204.166.118/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.21.211.47/8,10.25.145.106/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.187.197.117/8,10.94.202.49/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.85.0.157/8,10.40.203.192/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.143.38.205/8,10.111.206.243/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.121.131.45/8,10.121.131.45/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.179.66.100/8,10.148.233.181/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.209.73.3/8,10.130.93.131/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.157.131.250/8,10.2.163.238/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.89.170.112/8,10.137.151.242/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.235.3.223/8,10.235.3.223/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.208.105.33/8,10.131.149.203/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.167.30.117/8,10.167.30.117/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.190.104.3/8,10.60.133.175/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.162.63.249/8,10.162.63.249/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.253.70.177/8,10.162.255.39/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.163.25.134/8,10.163.25.134/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.109.5.190/8,10.178.119.250/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.8.89.251/8,10.8.89.251/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.44.7.107/8,10.113.0.62/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.27.49.157/8,10.83.181.222/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.216.142.128/8,10.65.115.103/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.61.123.90/8,10.96.245.141/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.181.55.51/8,10.174.179.34/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.86.71.120/8,10.223.141.35/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.58.214.116/8,10.26.86.204/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.220.49.217/8,10.159.195.127/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.250.127.40/8,10.250.127.40/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.201.186.93/8,10.120.235.197/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.41.115.105/8,10.24.238.252/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.88.5.125/8,10.219.231.193/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.103.105.29/8,10.103.105.29/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.159.115.250/8,10.248.35.81/8
455ff839-68cc-497c-80cb-aec8ddd623a8,10.198.244.203/8,10.198.244.203/8
