tenant_id,id,pool_id,subnet_id,address,protocol_port,weight,admin_state_up,provisioning_status,operating_status,name
bfd50153a2e9476f93e33e30e922cd06,0c40764b-a8ee-4389-90cb-d05dffb2c350,4b1b8e0d-663b-445a-b130-b409c2f41bf0,2019039a-089f-408c-b080-201a0c5cbe6f,10.174.5.53/8,31582,1,1,ACTIVE,ONLINE,
98333a1a28e746fa8c629c83a818ad57,14d172d4-801b-4fbe-a394-3375acbd93ca,03c2ef39-04ca-4652-a26e-e790cb7db5ce,0807c5b3-aa6c-4108-8884-7b4948a19178,10.16.112.58/8,31042,1,1,ACTIVE,ONLINE,
98333a1a28e746fa8c629c83a818ad57,1d73180c-ce9c-4688-b3ac-98487c9537c8,03c2ef39-04ca-4652-a26e-e790cb7db5ce,0807c5b3-aa6c-4108-8884-7b4948a19178,10.222.179.47/8,31042,1,1,ACTIVE,ONLINE,
98333a1a28e746fa8c629c83a818ad57,231b2eed-a101-4337-80aa-00ec0164f2a0,465bd555-a001-461a-9aed-41405a2a8bdb,0807c5b3-aa6c-4108-8884-7b4948a19178,10.6.159.91/8,31154,1,1,ACTIVE,ONLINE,
98333a1a28e746fa8c629c83a818ad57,400d8c9c-1674-4bbd-ab08-1744600a1a3b,465bd555-a001-461a-9aed-41405a2a8bdb,0807c5b3-aa6c-4108-8884-7b4948a19178,10.16.112.58/8,31154,1,1,ACTIVE,ONLINE,
bfd50153a2e9476f93e33e30e922cd06,43ec2f33-c2ca-4ee8-98e2-88bafce73e5a,4b1b8e0d-663b-445a-b130-b409c2f41bf0,2019039a-089f-408c-b080-201a0c5cbe6f,10.171.206.66/8,31582,1,1,ACTIVE,ONLINE,
98333a1a28e746fa8c629c83a818ad57,45e49eee-07b9-4370-9f6e-95d8ee62927e,465bd555-a001-461a-9aed-41405a2a8bdb,0807c5b3-aa6c-4108-8884-7b4948a19178,10.60.169.197/8,31154,1,1,ACTIVE,ONLINE,
bfd50153a2e9476f93e33e30e922cd06,4bc6bbd1-23a0-482d-9eaa-82f31a46f9ba,84ed8864-e9d5-436a-b662-4b4e8d4b7893,2019039a-089f-408c-b080-201a0c5cbe6f,10.174.5.53/8,30637,1,1,ACTIVE,ONLINE,
98333a1a28e746fa8c629c83a818ad57,5908455a-a35a-4da2-99e7-f2c4ee3ee987,465bd555-a001-461a-9aed-41405a2a8bdb,0807c5b3-aa6c-4108-8884-7b4948a19178,10.222.179.47/8,31154,1,1,ACTIVE,ONLINE,
bfd50153a2e9476f93e33e30e922cd06,5e4891fe-a342-4694-a3c6-676ec7b90837,f256a064-1fe7-43b3-ab76-522886bc27d8,2019039a-089f-408c-b080-201a0c5cbe6f,10.171.206.66/8,30062,1,1,ACTIVE,ONLINE,
98333a1a28e746fa8c629c83a818ad57,5e6f732c-06f2-433b-96e3-a97dc149d42e,465bd555-a001-461a-9aed-41405a2a8bdb,0807c5b3-aa6c-4108-8884-7b4948a19178,10.123.57.224/8,31154,1,1,ACTIVE,ONLINE,
