id,network_id,network_type,physical_network,segmentation_id,is_dynamic,segment_index
0100112e-94eb-4235-8c6d-eae99cd86909,05e04d8f-42ab-4610-845a-e50c515bf89a,gre,,62,0,0
02e65979-c314-423b-b895-d3f6fda93520,5b5cae96-6f01-43b4-865a-369382c484f3,gre,,12,0,0
0abbdf79-5718-4eac-ae20-0fe1dd837afd,cc0bf539-feba-46fe-a2e3-f04bfe1eef35,gre,,6,0,0
103e36d7-1d99-47dd-82a6-7709590e2e80,f29a09a3-0e98-498f-8493-ac69378220a0,gre,,74,0,0
10c2d8af-71e4-4500-9e47-37bc7319472c,354ce497-50a3-42cc-9cd7-e6fe499f7211,gre,,93,0,0
10e53786-5807-4a2e-90ba-22101552f22d,1e070f88-14f2-40ba-a79d-5a4eb023d88b,gre,,8,0,0
1626d3ed-6340-4b68-a46c-2982bab302c8,8ad137b5-cc2b-44c7-9db0-e4f81d978d0c,vlan,trunk,2123,0,0
1ab7e823-8c10-4a3b-8d19-653a6f142d60,76ce01f0-fa14-4a5d-9808-009709a72219,gre,,86,0,0
2093c799-b669-454c-95e8-1e7568cdaca7,dfdf2f92-8c4b-4a49-9641-4d5d77fa135b,gre,,100,0,0
21283c43-581f-44cf-bc04-2e282e8fb3c7,28bdd9ff-3e79-45ac-9831-f61a8ac71ab7,gre,,19,0,0
40c56f51-8c44-4d82-8369-d065010ed91a,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d,vlan,trunk,2113,0,0
44a9a3af-52b2-4d18-82fb-1608f56a7c5c,92d37d16-07e5-4387-8ab0-ce4a90a998ea,gre,,75,0,0
4cb272a0-0f5f-46ee-8f1d-efefc4fb0424,a4d00c60-f005-400e-a24c-1bf8b8308f98,gre,,3,0,0
4cee9f71-2664-48bc-99c6-904f2e5e2a4d,b3d6c27a-a9bb-4521-b5de-4d65eb7490dc,vlan,trunk,2002,0,0
5589b641-27e7-4a05-b6b8-1eadffd82259,d8d71cfe-9924-4521-9c23-e0eb4ec92747,gre,,35,0,0
