tenant_id,resource,dirty,in_use,reserved
0043e52493714a3a82af7caca8081e34,port,1,1,0
008d8d81335240fcb255b268f8562c22,port,1,2,0
008d8d81335240fcb255b268f8562c22,security_group,0,1,0
015e48e3990d4a788925c5798d358d4f,port,0,1,0
015e48e3990d4a788925c5798d358d4f,security_group,0,2,0
024e59017fc444a79b86a7a7bc955b59,port,0,1,0
02c3a636066b45faa84760bbaa76d8a8,port,0,1,0
0443563c3162495bb4d77e7cdb356476,port,1,3,0
0443563c3162495bb4d77e7cdb356476,security_group,0,6,0
04451ef4e8ce42bc8f2f590fed8177da,port,0,1,0
04451ef4e8ce42bc8f2f590fed8177da,security_group,0,2,0
04f203c6fa3244628714f851f3aceaa4,port,1,1,0
04f203c6fa3244628714f851f3aceaa4,security_group,0,1,0
05e13bdfc81c40a88f53e63ee6b48ca0,port,0,1,0
05e13bdfc81c40a88f53e63ee6b48ca0,security_group,0,3,0
060d1fbdb3d94a22b10f4c002ce22260,port,1,9,0
07c9e0afeeb648d3830ba68ca84f595e,port,0,1,0
0818de173fd9415ba3928cb446d742a7,port,0,1,0
0818de173fd9415ba3928cb446d742a7,security_group,0,2,0
0862b6bf68604444bbc2977d93f850ee,port,0,9,0
0862b6bf68604444bbc2977d93f850ee,security_group,0,2,0
0869d84607844ffc9aa2a0a72a8cc4c0,port,0,5,0
0869d84607844ffc9aa2a0a72a8cc4c0,security_group,0,3,0
08a5710919764215ad1b2c98dc7a8112,port,0,4,0
08f5552e94564f07a62a02c20df7e6ca,port,0,28,0
08f5552e94564f07a62a02c20df7e6ca,security_group,0,5,0
097c9be2b4504339aa5de1824a1e6ccf,port,1,1,0
097c9be2b4504339aa5de1824a1e6ccf,security_group,0,1,0
098201f62257495c9d7b47cde06a0a33,port,0,1,0
098201f62257495c9d7b47cde06a0a33,security_group,0,2,0
09ad05432f914e26bc417bf58f1cb4d2,floatingip,0,0,0
09ad05432f914e26bc417bf58f1cb4d2,network,0,5,0
09ad05432f914e26bc417bf58f1cb4d2,port,0,10,0
09ad05432f914e26bc417bf58f1cb4d2,security_group,0,35,0
09ad05432f914e26bc417bf58f1cb4d2,subnet,0,5,0
0a00c267d00e44a9b556ed5876aaec66,port,1,1,0
0acd1d2265574271bf8197271a95e0b3,security_group,0,1,0
0c3d817086194fae9047692bb728876d,port,0,1,0
