tenant_id,id,security_group_id,remote_group_id,direction,ethertype,protocol,port_range_min,port_range_max,remote_ip_prefix,standard_attr_id
298e3ba944e54e6b8d13de4228d93f1b,00035f49-98f4-4381-845c-0030bb019d70,8bc6f16f-29a6-4462-9b9b-38bf7e745d15,,ingress,IPv4,tcp,8000.0,8000.0,10.71.29.205/8,64850
7705adbe5221408f845e3bb10b6de471,000f39c9-75ff-4e3b-925d-ebe727af5bd7,e16f001d-ac14-49da-bea7-8126d9bc8484,,ingress,IPv4,tcp,8055.0,8055.0,10.209.32.141/8,2051
84d0ab8dd0b44f61981e4dc218daab3f,0031dfd9-2739-4174-9882-fea99aeaf8c8,89985901-e3bd-41ab-bd38-ee5c8c0087ec,,egress,IPv4,,,,,2052
3d3ba2883f4c4e34bcd98b4443542a72,0038a74a-288c-481a-b320-9f014fba0162,4558f0cc-7e5e-4b30-9f65-ce006c315eba,4558f0cc-7e5e-4b30-9f65-ce006c315eba,ingress,IPv4,,,,,52670
9ff064b04d4b4cde9eeea44837d463a6,004937ea-b22a-4dee-989f-52823a92c51d,64ea9350-9217-4aa3-a37a-866b07eed54a,64ea9350-9217-4aa3-a37a-866b07eed54a,ingress,IPv6,,,,,56814
2942532d0cf642668a48e80494d44cd5,00537bd6-d730-44bc-a1e7-5f9ccd7d4adb,ff993ae1-4b1f-461b-84ae-ced63c993070,ff993ae1-4b1f-461b-84ae-ced63c993070,ingress,IPv6,,,,,49696
e699f9ecfe644d78b415bec6330c78c8,005622cf-6acc-46d6-a5bc-3bcad658b31c,aac34ba3-1259-4ef8-bfdb-dda3fad9b922,,ingress,IPv4,tcp,9100.0,9100.0,10.71.29.205/8,9743
c8d203b785154a2894ddec107a742684,0058c7fc-f91e-4786-a07e-4c77c1d20cc7,94edb99a-6f39-40d1-aace-1cc47b7e7a17,,egress,IPv6,,,,,2053
0fe46c69adaf4d2fb01401e0dd952815,005995be-4739-4a75-9d24-87b87d5b0c69,53d7950e-af2a-4769-b553-e777162142af,,ingress,IPv4,tcp,22.0,22.0,10.156.215.16/8,2054
97107d3284a848a4a4ea0345bd05cbef,00721dc5-7c4b-402c-aead-31ff534dd908,5b768ff6-6c4e-4c24-b5d2-1ec67832d5e4,,ingress,IPv4,tcp,53.0,53.0,10.71.29.205/8,2055
39f988b0c06540b8ac104982e89c4c1e,00792e8d-c4ab-434e-b4cb-3859ef86e1f6,e5ee76c5-12fa-4c9e-a9b5-8706807dd184,,ingress,IPv4,tcp,443.0,443.0,10.71.29.205/8,44095
f6f04e3919964ed7bcb1bda2cef19b56,007c21f5-c384-4ec9-bd53-64e79620580d,824c36ca-0e6d-4115-962c-80aa366eb476,,egress,IPv6,,,,,2056
4e101cf5264b4e739b7b5ebe0f6b5c68,007fb2e7-c855-4e9c-a740-bc5c8f03cad7,e29710d9-875e-4a42-a6f1-b9e546b0451f,,ingress,IPv4,tcp,443.0,443.0,10.71.29.205/8,39942
8083447923734c679b261219b815d3bc,008365dc-6d1e-47af-9f8e-4a943498189a,7d8b966e-8a65-4d78-94a8-04e2a7ee5059,,ingress,IPv4,tcp,8888.0,8888.0,10.71.29.205/8,21219
98333a1a28e746fa8c629c83a818ad57,009f798e-3f7f-483a-82d4-6f16c6e60847,1b5d4af0-8928-4ac7-99fc-052b361bbd61,,ingress,IPv4,tcp,22.0,22.0,10.57.159.153/8,49286
e699f9ecfe644d78b415bec6330c78c8,00b1c9d5-86a6-4b31-b1b2-0bedca448f67,aac34ba3-1259-4ef8-bfdb-dda3fad9b922,,egress,IPv4,,,,,9730
9c982b4e161647ddb5f8637ac9eb551d,00b6b44c-1a4d-4349-bc8e-6cbf153223e8,afedef23-0032-445e-a773-e8d9ff32837f,,egress,IPv4,,,,,24293
16f37c716f604bfb8175a1b9ffac97ed,00c0cbd6-5419-45c3-8bc1-038b40a0a95b,40f9da9a-7579-4837-a076-70a2a609eaa7,40f9da9a-7579-4837-a076-70a2a609eaa7,ingress,IPv4,,,,,2058
