tenant_id,id,name,network_id,ip_version,cidr,gateway_ip,enable_dhcp,ipv6_ra_mode,ipv6_address_mode,subnetpool_id,standard_attr_id
70b2507b8cc44fcb917ddfb85f5079d9,012993ae-5d73-4aad-834b-e87a31e99d48,shift3,f29a09a3-0e98-498f-8493-ac69378220a0,4,10.131.150.180/8,10.30.19.197/8,1,,,,44775
98333a1a28e746fa8c629c83a818ad57,0807c5b3-aa6c-4108-8884-7b4948a19178,align_glint,18b03960-577f-49a4-be38-aafb4e05f3f3,4,10.51.159.90/8,10.210.236.141/8,1,,,,21150
809c6f32e1f84a5bbdaf905685a0b4f3,0814cd95-6c95-4669-8415-e555344bb15b,spark-nexis-proto,63dc291f-cabd-4689-9ec8-c0d935c6399e,4,10.37.117.235/8,10.51.22.157/8,1,,,,14900
70b2507b8cc44fcb917ddfb85f5079d9,16eaae8c-1920-4b8b-8765-f149dde8a1a6,dash_spark,c9e8f307-e1d5-4c06-b464-ef5370ca1d6d,4,10.49.195.222/8,10.107.243.218/8,0,,,,16172
17ea94ad74b64b9d92f4888336a598c7,1e360a1e-339a-4dc7-a250-28c31fcd905a,lyric_quark,fe178706-9942-4600-9224-b2ae7c61db71,4,10.148.129.59/8,,1,,,,1312
bfd50153a2e9476f93e33e30e922cd06,2019039a-089f-408c-b080-201a0c5cbe6f,align_glint,259e350d-9ea5-4dc5-8a1c-4ab7deef9eec,4,10.51.159.90/8,10.210.236.141/8,1,,,,21001
d00c4471fe5945f69795d50f7f32981e,25a309b3-7334-44b7-99b5-85a874d28475,alpha_spike,92d37d16-07e5-4387-8ab0-ce4a90a998ea,4,10.13.81.72/8,10.35.234.88/8,1,,,,50204
939a950b58f140b695f0da6c200e805c,25e390e6-3a89-42d7-a5e8-c4da22edc587,cubic,1e070f88-14f2-40ba-a79d-5a4eb023d88b,4,10.116.152.132/8,10.101.254.250/8,1,,,,1314
d60e461ee9034977b4717d79bba2f77e,26a23140-1cb7-4ccd-b2d7-50611eb82663,prime-prime,c859d73e-68b1-47e2-a271-8e2c1cdc979d,4,10.42.88.207/8,10.119.246.1/8,1,,,,1315
98333a1a28e746fa8c629c83a818ad57,2f08159a-e945-4ba2-a583-431d1f8078d9,zeph_axis,cc0bf539-feba-46fe-a2e3-f04bfe1eef35,4,10.13.188.223/8,10.191.175.87/8,1,,,,1317
98333a1a28e746fa8c629c83a818ad57,2fe21560-7cdc-409c-b01c-8c79492c8e3b,streak2-45,ee45c397-e436-4b5e-b9ee-113bfbf4ffd0,4,10.124.3.77/8,10.159.33.136/8,1,,,,54729
db95ae8358bd4566ba2e38702a128b6b,34321473-f650-4886-808c-9b2431aafc8c,flare8,9eb1cb96-7b96-4734-b99f-e2320fc4e475,4,10.7.144.178/8,10.3.66.147/8,1,,,,1318
17ea94ad74b64b9d92f4888336a598c7,34d23111-2910-4373-a1db-cbe0fc45cc5e,lumen_shine,04dc6fb8-2d9e-4739-9c71-1e3dc9ab6390,4,10.45.1.21/8,,1,,,,15364
09ad05432f914e26bc417bf58f1cb4d2,36ad083d-c3cc-443f-8821-c85601c10084,gamut2,8ad137b5-cc2b-44c7-9db0-e4f81d978d0c,4,10.168.109.116/8,10.192.111.154/8,1,,,,1320
fab98a79c65a47a99d23492c39315927,37f62d26-a556-4177-8d7b-fe5f016a37a3,space,82caefaf-7420-4122-80c4-92e46e9fd658,4,10.112.136.215/8,10.241.214.72/8,1,,,,6059
bfd50153a2e9476f93e33e30e922cd06,388ee748-7b3d-4049-99b4-7e582937bbd4,celes-blaze,38bfcc47-5f4d-46c8-9596-fb3a69f64e1e,4,10.133.215.196/8,10.218.105.79/8,1,,,,6013
939a950b58f140b695f0da6c200e805c,429cf811-e47b-4ea4-b332-d87f8fb3e282,meter_mover,85d1052c-e23d-4ecb-bdba-16ebb8265237,4,10.42.32.41/8,10.169.81.177/8,0,,,,1321
09ad05432f914e26bc417bf58f1cb4d2,4ab2d89a-536b-4ec7-a8a2-df853a5b65e3,dash5,dfdf2f92-8c4b-4a49-9641-4d5d77fa135b,4,10.96.238.36/8,10.42.84.120/8,1,,,,1322
98333a1a28e746fa8c629c83a818ad57,4ec9c5db-8f83-4f66-9de3-45078ba25f41,prime-shift,b3d6c27a-a9bb-4521-b5de-4d65eb7490dc,6,10.195.183.158/8,10.190.174.219/8,1,dhcpv6-stateful,dhcpv6-stateful,,21088
ccffeac313314388922e3c1006ee9871,4fbfd587-0fdf-494d-8a79-0ce73ff4d055,meter4,6814a543-6ad2-4426-83bc-dd0740dc068a,4,10.83.84.132/8,,1,,,,14015
09ad05432f914e26bc417bf58f1cb4d2,569e4e04-2130-4d43-9549-44eaa78187fa,qubit9,6ef825a6-115f-4270-86ca-e3a818b13c14,4,10.190.237.200/8,10.22.86.28/8,1,,,,7650
