ope_id,school,state,zip_code,school_type,dl_subsidized_recipients,dl_subsidized_number_of_loans_originated,dl_subsidized_dollar_amount_of_loans_originated,dl_subsidized_number_of_disbursements,dl_subsidized_dollar_amount_of_disbursements,dl_unsubsidized_undergraduate_recipients,dl_unsubsidized_undergraduate_number_of_loans_originated,dl_unsubsidized_undergraduate_dollar_amount_of_loans_originated,dl_unsubsidized_undergraduate_number_of_disbursements,dl_unsubsidized_undergraduate_dollar_amount_of_disbursements,dl_unsubsidized_graduate_recipients,dl_unsubsidized_graduate_number_of_loans_originated,dl_unsubsidized_graduate_dollar_amount_of_loans_originated,dl_unsubsidized_graduate_number_of_disbursements,dl_unsubsidized_graduate_dollar_amount_of_disbursements,dl_parent_plus_recipients,dl_parent_plus_number_of_loans_originated,dl_parent_plus_dollar_amount_of_loans_originated,dl_parent_plus_number_of_disbursements,dl_parent_plus_dollar_amount_of_disbursements,dl_grad_plus_recipients,dl_grad_plus_number_of_loans_originated,dl_grad_plus_dollar_amount_of_loans_originated,dl_grad_plus_number_of_disbursements,dl_grad_plus_dollar_amount_of_disbursements
00100200,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,357621357,Public,3033,3181,11730447,5884,11730447,2899,3207,9323161,5926,9323161,723,856,11174089,1582,11174089,984,1043,13318027,2004,13318027,154,191,1300776,364,1300776
00100300,FAULKNER UNIVERSITY,AL,361093398,Private-Nonprofit,1289,1843,5158051,3752,5158051,1385,2092,5564907,4248,5564907,766,1323,10753738,2611,10753738,189,218,1930723,409,1930723,194,305,4534189,574,4534189
00100400,UNIVERSITY OF MONTEVALLO,AL,351156000,Public,973,1049,3758966,1897,3758966,1093,1198,4018904,2203,4018904,248,311,3533049,520,3533049,228,253,2712922,483,2712922,28,31,254168,45,254168
00100500,ALABAMA STATE UNIVERSITY,AL,361045714,Public,2163,2279,8292633,4230,8292633,2173,2500,7054805,4638,7054805,359,396,6386769,757,6386769,516,606,5757728,1176,5757728,179,246,2223158,477,2223158
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,350100000,Public,223,235,664603,448,664603,116,136,343671,255,343671,-,-, -,-, -,3,3,29426,6,29426,-,-, -,-, -
00100800,ATHENS STATE UNIVERSITY,AL,356111999,Public,1163,1254,4423362,1982,4423362,1101,1137,6005225,1893,6005225,145,157,1921558,255,1921558,28,30,178909,52,178909,-,-, -,-, -
00100900,AUBURN UNIVERSITY,AL,368495113,Public,5478,5857,22780087,10330,22780087,6470,6675,24266291,12138,24266291,1992,2323,46493752,4139,46493752,1672,1967,45519295,3428,45519295,472,636,10702110,1018,10702110
00101200,BIRMINGHAM-SOUTHERN COLLEGE,AL,352540002,Private-Nonprofit,363,365,1476073,679,1476073,487,513,1889104,964,1889104,-,-, -,-, -,162,176,2716626,318,2716626,-,-, -,-, -
00101300,CALHOUN COMMUNITY COLLEGE,AL,356710000,Public,1224,1246,3413366,2379,3413366,1322,1356,4772673,2723,4772673,-,-, -,-, -,9,9,47461,19,47461,-,-, -,-, -
00101500,ENTERPRISE STATE COMMUNITY COLLEGE,AL,363311300,Public,317,332,879343,558,879343,312,338,1055602,578,1055602,-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
