ope_id,school,state,zip_code,school_type,dl_subsidized_recipients,dl_subsidized_number_of_loans_originated,dl_subsidized_dollar_amount_of_loans_originated,dl_subsidized_number_of_disbursements,dl_subsidized_dollar_amount_of_disbursements,dl_unsubsidized_undergraduate_recipients,dl_unsubsidized_undergraduate_number_of_loans_originated,dl_unsubsidized_undergraduate_dollar_amount_of_loans_originated,dl_unsubsidized_undergraduate_number_of_disbursements,dl_unsubsidized_undergraduate_dollar_amount_of_disbursements,dl_unsubsidized_graduate_recipients,dl_unsubsidized_graduate_number_of_loans_originated,dl_unsubsidized_graduate_dollar_amount_of_loans_originated,dl_unsubsidized_graduate_number_of_disbursements,dl_unsubsidized_graduate_dollar_amount_of_disbursements,dl_parent_plus_recipients,dl_parent_plus_number_of_loans_originated,dl_parent_plus_dollar_amount_of_loans_originated,dl_parent_plus_number_of_disbursements,dl_parent_plus_dollar_amount_of_disbursements,dl_grad_plus_recipients,dl_grad_plus_number_of_loans_originated,dl_grad_plus_dollar_amount_of_loans_originated,dl_grad_plus_number_of_disbursements,dl_grad_plus_dollar_amount_of_disbursements
100200,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,357621357,Public,288,295,956868,654,1104614,305,325,1028610,724,1196184,91,92,748462,187,784320,170,176,1733074,362,1864518,52,54,416564,109,415957
100300,FAULKNER UNIVERSITY,AL,361093398,Private-Nonprofit,290,300,632894,643,672900,317,330,974097,711,1036090,333,355,2805981,741,2900251,13,13,79588,24,83755,219,237,3984480,477,3990730
100400,UNIVERSITY OF MONTEVALLO,AL,351156000,Public,63,65,102643,70,102643,43,44,78394,47,78394,47,48,298764,48,298764,13,13,88177,14,88177,18,18,141798,18,141798
100500,ALABAMA STATE UNIVERSITY,AL,361045714,Public,272,273,783412,569,838943,258,283,833166,587,881166,86,89,567003,179,606068,120,125,900178,258,959180,113,117,766407,230,764517
100700,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,350100000,Public,57,57,149461,136,189044,23,23,47147,54,63163,,,,,,,,,,,,,,,
100800,ATHENS STATE UNIVERSITY,AL,356111999,Public,108,108,275358,215,499386,119,119,460377,230,772804,43,44,346862,94,714172,3,3,22551,4,25261,12,12,138347,15,161371
100900,AUBURN UNIVERSITY,AL,368495113,Public,499,501,1061132,534,1074374,301,304,852518,361,887930,343,343,2465481,367,2501266,234,244,3026698,271,3039558,236,259,3405055,295,3433360
101200,BIRMINGHAM-SOUTHERN COLLEGE,AL,352540002,Private-Nonprofit,4,4,7324,5,9074,3,3,8400,5,8744,,,,,,5,6,33511,11,62753,,,,,
101300,CALHOUN COMMUNITY COLLEGE,AL,356710000,Public,98,98,288157,274,435890,88,88,252140,254,486814,,,,,,4,4,10053,8,10053,,,,,
101500,ENTERPRISE STATE COMMUNITY COLLEGE,AL,363311300,Public,80,82,205023,190,259964,53,54,179809,128,229223,,,,,,,,,,,,,,,
