ope_id_00100200,school_alabama_agricultural_mechanical_university,state_al,zip_code_357621357,school_type_public,recipients_236,number_of_loans_originated_240,dollar_amount_of_loans_originated_843545,number_of_disbursements_529,dollar_amount_of_disbursements_970795,recipients_283,number_of_loans_originated_306,dollar_amount_of_loans_originated_966467,number_of_disbursements_671,dollar_amount_of_disbursements_1113771,recipients_55,number_of_loans_originated_56,dollar_amount_of_loans_originated_481420,number_of_disbursements_118,dollar_amount_of_disbursements_576247,recipients_172,number_of_loans_originated_178,dollar_amount_of_loans_originated_2122746,number_of_disbursements_375,dollar_amount_of_disbursements_2332380,recipients_42,number_of_loans_originated_43,dollar_amount_of_loans_originated_331579,number_of_disbursements_85,dollar_amount_of_disbursements_333079
100300,FAULKNER UNIVERSITY,AL,361093398,Private-Nonprofit,269,280,613834,345,365954,302,315,994411,385,583817,268,299,2025280,466,1560273,4,4,24500,7,20000,216,236,2025613,691,4078671
100400,UNIVERSITY OF MONTEVALLO,AL,351156000,Public,45,48,77587,48,77587,21,22,46493,22,46493,30,31,179518,31,179518,8,8,36382,8,36382,14,15,96094,15,96094
100500,ALABAMA STATE UNIVERSITY,AL,361045714,Public,133,134,370060,276,387310,154,161,443495,330,454745,73,73,565368,147,581574,51,52,439626,108,487021,68,68,600310,137,600619
100700,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,350100000,Public,32,32,103475,194,285353,10,10,27188,49,70665,,,,,,,,,,,,,,,
100800,ATHENS STATE UNIVERSITY,AL,356111999,Public,90,90,292355,203,498973,84,84,288616,185,579435,36,37,275002,76,556274,10,10,69535,12,80436,8,9,101988,12,124786
100900,AUBURN UNIVERSITY,AL,368495113,Public,269,270,570249,312,584911,240,240,768470,302,782713,321,321,2432141,335,2435641,241,250,3335042,279,3364367,226,233,3648915,245,3660310
101300,CALHOUN COMMUNITY COLLEGE,AL,356710000,Public,88,89,287039,204,344513,88,88,354088,193,448110,,,,,,1,1,4000,1,2000,,,,,
101500,ENTERPRISE STATE COMMUNITY COLLEGE,AL,363311300,Public,62,63,182253,106,169624,53,57,233041,94,212272,,,,,,,,,,,,,,,
101600,UNIVERSITY OF NORTH ALABAMA,AL,356320001,Public,87,88,166731,96,99220,82,82,236947,89,133951,172,173,911453,177,475503,13,13,64204,13,32623,46,46,273855,48,139726
101900,HUNTINGDON COLLEGE,AL,361062148,Private-Nonprofit,6,6,22292,6,22292,9,10,33708,10,33708,5,5,59766,13,106844,4,4,52893,5,57544,0,0,0,1,3333
