service_day,day_of_week,is_special_day,period_code,cycle_label
22-Jul-2018,Friday,1,P2018-2,P2018-3
23-Jul-2018,Saturday,1,P2018-2,P2018-3
24-Jul-2018,Sunday,1,P2018-2,P2018-3
25-Jul-2018,Monday,0,P2018-2,P2018-3
26-Jul-2018,Tuesday,0,P2018-2,P2018-3
27-Jul-2018,Wednesday,0,P2018-2,P2018-3
28-Jul-2018,Thursday,0,P2018-2,P2018-3
29-Jul-2018,Friday,0,P2018-2,P2018-3
30-Jul-2018,Saturday,0,P2018-2,P2018-3
31-Jul-2018,Sunday,0,P2018-2,P2018-3
01-Aug-2018,Monday,1,P2018-2,P2018-3
02-Aug-2018,Tuesday,0,P2018-2,P2018-3
03-Aug-2018,Wednesday,0,P2018-2,P2018-3
04-Aug-2018,Thursday,0,P2018-2,P2018-3
05-Aug-2018,Friday,0,P2018-2,P2018-3
06-Aug-2018,Saturday,0,P2018-2,P2018-3
07-Aug-2018,Sunday,0,P2018-2,P2018-3
08-Aug-2018,Monday,0,P2018-2,P2018-3
09-Aug-2018,Tuesday,0,P2018-2,P2018-3
10-Aug-2018,Wednesday,0,P2018-2,P2018-3
11-Aug-2018,Thursday,0,P2018-2,P2018-3
12-Aug-2018,Friday,0,P2018-2,P2018-3
13-Aug-2018,Saturday,0,P2018-2,P2018-3
14-Aug-2018,Sunday,0,P2018-2,P2018-3
15-Aug-2018,Monday,0,P2018-2,P2018-3
16-Aug-2018,Tuesday,0,P2018-2,P2018-3
17-Aug-2018,Wednesday,0,P2018-2,P2018-3
18-Aug-2018,Thursday,0,P2018-2,P2018-3
19-Aug-2018,Friday,0,P2018-2,P2018-3
20-Aug-2018,Saturday,0,P2018-2,P2018-3
21-Aug-2018,Sunday,0,P2018-2,P2018-3
22-Aug-2018,Monday,0,P2018-2,P2018-3
23-Aug-2018,Tuesday,0,P2018-2,P2018-3
24-Aug-2018,Wednesday,0,P2018-2,P2018-3
25-Aug-2018,Thursday,0,P2018-2,P2018-3
26-Aug-2018,Friday,0,P2018-2,P2018-3
27-Aug-2018,Saturday,0,P2018-2,P2018-3
28-Aug-2018,Sunday,0,P2018-2,P2018-3
29-Aug-2018,Monday,0,P2018-2,P2018-3
30-Aug-2018,Tuesday,0,P2018-2,P2018-3
31-Aug-2018,Wednesday,0,P2018-2,P2018-3
01-Sep-2018,Thursday,1,P2018-2,P2018-3
02-Sep-2018,Friday,0,P2018-2,P2018-3
03-Sep-2018,Saturday,0,P2018-2,P2018-3
04-Sep-2018,Sunday,0,P2018-2,P2018-3
05-Sep-2018,Monday,0,P2018-2,P2018-3
06-Sep-2018,Tuesday,0,P2018-2,P2018-3
07-Sep-2018,Wednesday,0,P2018-2,P2018-3
08-Sep-2018,Thursday,0,P2018-2,P2018-3
09-Sep-2018,Friday,0,P2018-2,P2018-3
10-Sep-2018,Saturday,0,P2018-2,P2018-3
11-Sep-2018,Sunday,0,P2018-2,P2018-3
12-Sep-2018,Monday,0,P2018-2,P2018-3
13-Sep-2018,Tuesday,0,P2018-2,P2018-3
14-Sep-2018,Wednesday,0,P2018-2,P2018-3
15-Sep-2018,Thursday,0,P2018-2,P2018-3
16-Sep-2018,Friday,0,P2018-2,P2018-3
17-Sep-2018,Saturday,0,P2018-2,P2018-3
18-Sep-2018,Sunday,0,P2018-2,P2018-3
19-Sep-2018,Monday,0,P2018-2,P2018-3
20-Sep-2018,Tuesday,0,P2018-2,P2018-3
21-Sep-2018,Wednesday,0,P2018-2,P2018-3
22-Sep-2018,Thursday,0,P2018-2,P2018-3
23-Sep-2018,Friday,0,P2018-2,P2018-3
24-Sep-2018,Saturday,0,P2018-2,P2018-3
25-Sep-2018,Sunday,0,P2018-2,P2018-3
26-Sep-2018,Monday,0,P2018-2,P2018-3
27-Sep-2018,Tuesday,0,P2018-2,P2018-3
28-Sep-2018,Wednesday,0,P2018-2,P2018-3
29-Sep-2018,Thursday,0,P2018-2,P2018-3
30-Sep-2018,Friday,0,P2018-2,P2018-3
01-Oct-2018,Saturday,0,P2018-3,P2018-4
02-Oct-2018,Sunday,0,P2018-3,P2018-4
03-Oct-2018,Monday,0,P2018-3,P2018-4
04-Oct-2018,Tuesday,0,P2018-3,P2018-4
05-Oct-2018,Wednesday,0,P2018-3,P2018-4
06-Oct-2018,Thursday,0,P2018-3,P2018-4
07-Oct-2018,Friday,0,P2018-3,P2018-4
08-Oct-2018,Saturday,0,P2018-3,P2018-4
09-Oct-2018,Sunday,1,P2018-3,P2018-4
10-Oct-2018,Monday,1,P2018-3,P2018-4
11-Oct-2018,Tuesday,0,P2018-3,P2018-4
12-Oct-2018,Wednesday,0,P2018-3,P2018-4
13-Oct-2018,Thursday,0,P2018-3,P2018-4
14-Oct-2018,Friday,0,P2018-3,P2018-4
15-Oct-2018,Saturday,0,P2018-3,P2018-4
16-Oct-2018,Sunday,0,P2018-3,P2018-4
17-Oct-2018,Monday,0,P2018-3,P2018-4
18-Oct-2018,Tuesday,0,P2018-3,P2018-4
19-Oct-2018,Wednesday,0,P2018-3,P2018-4
20-Oct-2018,Thursday,0,P2018-3,P2018-4
21-Oct-2018,Friday,0,P2018-3,P2018-4
22-Oct-2018,Saturday,0,P2018-3,P2018-4
23-Oct-2018,Sunday,0,P2018-3,P2018-4
24-Oct-2018,Monday,0,P2018-3,P2018-4
25-Oct-2018,Tuesday,0,P2018-3,P2018-4
26-Oct-2018,Wednesday,0,P2018-3,P2018-4
27-Oct-2018,Thursday,0,P2018-3,P2018-4
28-Oct-2018,Friday,0,P2018-3,P2018-4
29-Oct-2018,Saturday,0,P2018-3,P2018-4
30-Oct-2018,Sunday,0,P2018-3,P2018-4
31-Oct-2018,Monday,0,P2018-3,P2018-4
01-Nov-2018,Tuesday,0,P2018-3,P2018-4
02-Nov-2018,Wednesday,0,P2018-3,P2018-4
03-Nov-2018,Thursday,0,P2018-3,P2018-4
04-Nov-2018,Friday,0,P2018-3,P2018-4
05-Nov-2018,Saturday,0,P2018-3,P2018-4
06-Nov-2018,Sunday,0,P2018-3,P2018-4
07-Nov-2018,Monday,0,P2018-3,P2018-4
08-Nov-2018,Tuesday,0,P2018-3,P2018-4
09-Nov-2018,Wednesday,0,P2018-3,P2018-4
10-Nov-2018,Thursday,0,P2018-3,P2018-4
11-Nov-2018,Friday,0,P2018-3,P2018-4
12-Nov-2018,Saturday,0,P2018-3,P2018-4
13-Nov-2018,Sunday,0,P2018-3,P2018-4
14-Nov-2018,Monday,0,P2018-3,P2018-4
