venue_code,expected_covers,visit_day,visit_hour,booked_on,no_show_flag,source_channel
V0427,1,22-Jul-2018,19,22-Jul-2018 16:00,False,direct
V0712,3,22-Jul-2018,19,22-Jul-2018 19:00,False,direct
V0712,6,22-Jul-2018,19,22-Jul-2018 19:00,False,direct
V0427,2,22-Jul-2018,20,22-Jul-2018 16:00,True,direct
V0713,5,22-Jul-2018,20,22-Jul-2018 01:00,False,direct
V0713,2,23-Jul-2018,1,22-Jul-2018 16:00,False,direct
V0713,4,23-Jul-2018,1,22-Jul-2018 15:00,True,direct
V0180,2,23-Jul-2018,16,23-Jul-2018 14:00,False,direct
V0180,2,23-Jul-2018,16,22-Jul-2018 20:00,False,direct
V0127,2,23-Jul-2018,17,23-Jul-2018 17:00,True,direct
V0337,3,23-Jul-2018,17,22-Jul-2018 22:00,False,direct
V0337,3,23-Jul-2018,17,22-Jul-2018 12:00,False,direct
V0337,2,23-Jul-2018,17,23-Jul-2018 16:00,False,direct
V0381,6,23-Jul-2018,17,23-Jul-2018 17:00,True,direct
V0381,7,23-Jul-2018,17,23-Jul-2018 17:00,True,direct
V0381,41,23-Jul-2018,17,23-Jul-2018 17:00,False,direct
V0381,13,23-Jul-2018,17,23-Jul-2018 17:00,False,direct
V0127,2,23-Jul-2018,18,23-Jul-2018 17:00,False,direct
V0337,3,23-Jul-2018,18,22-Jul-2018 12:00,False,direct
V0427,2,23-Jul-2018,18,22-Jul-2018 16:00,False,direct
V0713,2,23-Jul-2018,18,23-Jul-2018 14:00,False,direct
V0713,3,23-Jul-2018,18,23-Jul-2018 02:00,False,direct
V0799,2,23-Jul-2018,18,23-Jul-2018 17:00,False,direct
V0127,2,23-Jul-2018,19,23-Jul-2018 19:00,False,direct
V0713,6,23-Jul-2018,19,23-Jul-2018 02:00,False,direct
V0713,2,23-Jul-2018,19,23-Jul-2018 18:00,False,direct
V0427,2,23-Jul-2018,21,22-Jul-2018 16:00,False,direct
V0713,4,23-Jul-2018,21,23-Jul-2018 18:00,False,direct
V0713,8,23-Jul-2018,21,23-Jul-2018 18:00,False,direct
V0713,3,23-Jul-2018,21,23-Jul-2018 16:00,False,direct
V0148,4,24-Jul-2018,0,23-Jul-2018 13:00,False,direct
V0337,5,24-Jul-2018,12,23-Jul-2018 17:00,False,direct
V0337,2,24-Jul-2018,13,24-Jul-2018 12:00,False,direct
V0344,4,24-Jul-2018,14,22-Jul-2018 21:00,False,direct
V0337,4,24-Jul-2018,18,24-Jul-2018 16:00,False,direct
V0713,5,24-Jul-2018,18,23-Jul-2018 22:00,False,direct
V0713,6,24-Jul-2018,18,23-Jul-2018 20:00,False,direct
V0738,6,24-Jul-2018,18,24-Jul-2018 18:00,False,direct
V0148,4,24-Jul-2018,19,24-Jul-2018 17:00,False,direct
V0148,3,24-Jul-2018,19,24-Jul-2018 15:00,False,direct
V0526,2,24-Jul-2018,19,24-Jul-2018 16:00,False,direct
V0526,2,24-Jul-2018,21,23-Jul-2018 20:00,False,direct
V0713,6,24-Jul-2018,22,23-Jul-2018 22:00,True,direct
V0774,2,25-Jul-2018,15,25-Jul-2018 11:00,False,direct
V0180,5,25-Jul-2018,16,22-Jul-2018 17:00,False,direct
V0098,7,25-Jul-2018,17,25-Jul-2018 14:00,False,direct
V0127,1,25-Jul-2018,17,25-Jul-2018 17:00,False,direct
V0381,2,25-Jul-2018,17,25-Jul-2018 17:00,False,direct
V0381,2,25-Jul-2018,17,25-Jul-2018 17:00,False,direct
V0055,2,25-Jul-2018,18,25-Jul-2018 17:00,False,direct
V0061,4,25-Jul-2018,18,25-Jul-2018 16:00,False,direct
V0061,5,25-Jul-2018,18,25-Jul-2018 16:00,False,direct
V0135,3,25-Jul-2018,18,25-Jul-2018 18:00,False,direct
V0148,10,25-Jul-2018,18,25-Jul-2018 14:00,False,direct
V0254,4,25-Jul-2018,18,25-Jul-2018 14:00,False,direct
V0337,2,25-Jul-2018,18,24-Jul-2018 21:00,False,direct
V0350,5,25-Jul-2018,18,25-Jul-2018 18:00,False,direct
V0806,2,25-Jul-2018,18,25-Jul-2018 15:00,False,direct
V0118,2,25-Jul-2018,19,25-Jul-2018 19:00,False,direct
V0127,4,25-Jul-2018,19,24-Jul-2018 23:00,True,direct
V0148,4,25-Jul-2018,19,25-Jul-2018 11:00,False,direct
V0254,3,25-Jul-2018,19,25-Jul-2018 14:00,False,direct
V0298,22,25-Jul-2018,19,25-Jul-2018 18:00,True,direct
V0717,3,25-Jul-2018,19,25-Jul-2018 14:00,False,direct
V0135,2,25-Jul-2018,20,25-Jul-2018 18:00,False,direct
V0135,8,25-Jul-2018,21,25-Jul-2018 18:00,False,direct
V0526,2,25-Jul-2018,21,25-Jul-2018 15:00,False,direct
V0118,1,25-Jul-2018,22,25-Jul-2018 22:00,False,direct
V0118,10,25-Jul-2018,22,25-Jul-2018 22:00,False,direct
V0148,5,25-Jul-2018,23,25-Jul-2018 11:00,False,direct
V0055,3,26-Jul-2018,11,25-Jul-2018 12:00,False,direct
V0602,5,26-Jul-2018,16,25-Jul-2018 13:00,False,direct
V0294,4,26-Jul-2018,17,26-Jul-2018 17:00,False,direct
V0307,6,26-Jul-2018,17,26-Jul-2018 17:00,False,direct
V0122,2,26-Jul-2018,18,23-Jul-2018 12:00,False,direct
V0135,6,26-Jul-2018,18,26-Jul-2018 17:00,False,direct
V0135,2,26-Jul-2018,18,26-Jul-2018 17:00,False,direct
V0318,2,26-Jul-2018,18,26-Jul-2018 17:00,False,direct
V0350,4,26-Jul-2018,18,25-Jul-2018 19:00,False,direct
V0350,4,26-Jul-2018,18,25-Jul-2018 22:00,False,direct
V0717,3,26-Jul-2018,18,26-Jul-2018 18:00,False,direct
V0717,3,26-Jul-2018,18,22-Jul-2018 14:00,False,direct
V0717,2,26-Jul-2018,18,25-Jul-2018 20:00,False,direct
V0337,5,26-Jul-2018,19,23-Jul-2018 15:00,True,direct
V0344,2,26-Jul-2018,19,26-Jul-2018 18:00,True,direct
V0526,8,26-Jul-2018,19,23-Jul-2018 00:00,False,direct
V0118,2,26-Jul-2018,20,26-Jul-2018 19:00,False,direct
V0134,2,26-Jul-2018,20,25-Jul-2018 22:00,False,direct
V0344,2,26-Jul-2018,20,26-Jul-2018 19:00,False,direct
V0653,1,26-Jul-2018,20,26-Jul-2018 20:00,True,direct
V0717,2,26-Jul-2018,20,26-Jul-2018 20:00,False,direct
V0744,2,26-Jul-2018,20,26-Jul-2018 18:00,False,direct
V0744,2,26-Jul-2018,20,26-Jul-2018 18:00,False,direct
V0799,2,26-Jul-2018,20,22-Jul-2018 02:00,False,direct
V0055,3,27-Jul-2018,11,26-Jul-2018 18:00,False,direct
V0350,3,27-Jul-2018,11,27-Jul-2018 11:00,False,direct
V0350,2,27-Jul-2018,11,25-Jul-2018 23:00,False,direct
V0135,16,27-Jul-2018,12,27-Jul-2018 11:00,False,direct
V0135,3,27-Jul-2018,12,27-Jul-2018 11:00,False,direct
V0806,2,27-Jul-2018,12,27-Jul-2018 11:00,False,direct
V0806,2,27-Jul-2018,13,25-Jul-2018 11:00,False,direct
V0125,5,27-Jul-2018,16,27-Jul-2018 16:00,False,direct
V0182,6,27-Jul-2018,17,26-Jul-2018 22:00,False,direct
V0318,2,27-Jul-2018,17,27-Jul-2018 15:00,False,direct
V0381,4,27-Jul-2018,17,27-Jul-2018 17:00,False,direct
V0381,6,27-Jul-2018,17,27-Jul-2018 17:00,False,direct
V0184,4,27-Jul-2018,18,27-Jul-2018 13:00,False,direct
V0184,2,27-Jul-2018,18,25-Jul-2018 14:00,False,direct
V0184,4,27-Jul-2018,18,26-Jul-2018 11:00,False,direct
V0337,2,27-Jul-2018,18,27-Jul-2018 17:00,False,direct
V0402,3,27-Jul-2018,18,27-Jul-2018 18:00,True,direct
V0484,3,27-Jul-2018,18,27-Jul-2018 17:00,False,direct
V0712,3,27-Jul-2018,18,27-Jul-2018 17:00,False,direct
V0717,3,27-Jul-2018,18,27-Jul-2018 17:00,False,direct
V0744,3,27-Jul-2018,18,26-Jul-2018 22:00,False,direct
V0744,2,27-Jul-2018,18,27-Jul-2018 17:00,False,direct
V0118,1,27-Jul-2018,19,27-Jul-2018 19:00,False,direct
V0135,2,27-Jul-2018,19,27-Jul-2018 17:00,False,direct
V0180,5,27-Jul-2018,19,26-Jul-2018 21:00,False,direct
V0180,4,27-Jul-2018,19,27-Jul-2018 15:00,False,direct
V0180,2,27-Jul-2018,19,26-Jul-2018 21:00,True,direct
V0302,2,27-Jul-2018,19,27-Jul-2018 15:00,False,direct
V0302,2,27-Jul-2018,19,27-Jul-2018 15:00,False,direct
V0402,2,27-Jul-2018,19,27-Jul-2018 18:00,False,direct
V0402,11,27-Jul-2018,19,25-Jul-2018 15:00,False,direct
V0402,2,27-Jul-2018,19,27-Jul-2018 16:00,False,direct
V0402,2,27-Jul-2018,19,26-Jul-2018 19:00,False,direct
V0744,5,27-Jul-2018,19,26-Jul-2018 16:00,False,direct
V0135,8,27-Jul-2018,20,27-Jul-2018 17:00,False,direct
V0135,3,27-Jul-2018,20,27-Jul-2018 17:00,False,direct
V0294,2,27-Jul-2018,20,27-Jul-2018 20:00,False,direct
V0402,2,27-Jul-2018,20,27-Jul-2018 13:00,False,direct
V0713,2,27-Jul-2018,20,26-Jul-2018 18:00,False,direct
V0713,3,27-Jul-2018,20,25-Jul-2018 22:00,True,direct
V0744,2,27-Jul-2018,20,27-Jul-2018 17:00,False,direct
V0806,2,27-Jul-2018,20,27-Jul-2018 17:00,False,direct
V0118,2,27-Jul-2018,21,27-Jul-2018 19:00,False,direct
V0118,2,27-Jul-2018,21,27-Jul-2018 21:00,False,direct
V0402,2,27-Jul-2018,22,27-Jul-2018 17:00,False,direct
V0717,2,27-Jul-2018,22,27-Jul-2018 22:00,False,direct
V0342,2,27-Jul-2018,23,27-Jul-2018 23:00,False,direct
V0717,2,27-Jul-2018,23,27-Jul-2018 23:00,False,direct
V0135,2,28-Jul-2018,12,27-Jul-2018 21:00,False,direct
V0122,3,28-Jul-2018,13,28-Jul-2018 10:00,False,direct
V0379,2,28-Jul-2018,16,28-Jul-2018 15:00,False,direct
V0602,6,28-Jul-2018,16,25-Jul-2018 17:00,False,direct
V0098,5,28-Jul-2018,17,27-Jul-2018 22:00,False,direct
V0098,2,28-Jul-2018,17,27-Jul-2018 18:00,False,direct
V0148,5,28-Jul-2018,17,25-Jul-2018 12:00,False,direct
V0182,2,28-Jul-2018,17,27-Jul-2018 15:00,False,direct
V0379,2,28-Jul-2018,17,26-Jul-2018 20:00,False,direct
V0484,4,28-Jul-2018,17,27-Jul-2018 17:00,False,direct
V0008,13,28-Jul-2018,18,27-Jul-2018 14:00,False,direct
V0008,4,28-Jul-2018,18,27-Jul-2018 14:00,False,direct
V0134,3,28-Jul-2018,18,28-Jul-2018 17:00,False,direct
V0233,2,28-Jul-2018,18,27-Jul-2018 18:00,False,direct
V0254,3,28-Jul-2018,18,26-Jul-2018 21:00,False,direct
V0254,2,28-Jul-2018,18,26-Jul-2018 21:00,False,direct
V0402,2,28-Jul-2018,18,28-Jul-2018 16:00,True,direct
V0402,2,28-Jul-2018,18,27-Jul-2018 20:00,False,direct
V0402,2,28-Jul-2018,18,25-Jul-2018 17:00,False,direct
V0526,2,28-Jul-2018,18,28-Jul-2018 14:00,True,direct
V0717,2,28-Jul-2018,18,28-Jul-2018 18:00,False,direct
V0717,2,28-Jul-2018,18,28-Jul-2018 18:00,False,direct
V0744,4,28-Jul-2018,18,28-Jul-2018 16:00,False,direct
V0744,2,28-Jul-2018,18,27-Jul-2018 17:00,False,direct
V0134,3,28-Jul-2018,19,28-Jul-2018 17:00,False,direct
V0298,18,28-Jul-2018,19,28-Jul-2018 17:00,False,direct
V0379,19,28-Jul-2018,19,26-Jul-2018 22:00,False,direct
V0379,4,28-Jul-2018,19,28-Jul-2018 12:00,False,direct
V0402,3,28-Jul-2018,19,28-Jul-2018 19:00,False,direct
V0402,2,28-Jul-2018,19,28-Jul-2018 13:00,False,direct
V0519,2,28-Jul-2018,19,28-Jul-2018 12:00,False,direct
V0738,3,28-Jul-2018,19,28-Jul-2018 17:00,False,direct
V0055,2,28-Jul-2018,20,28-Jul-2018 20:00,False,direct
V0135,2,28-Jul-2018,20,27-Jul-2018 21:00,False,direct
V0342,2,28-Jul-2018,20,27-Jul-2018 14:00,False,direct
V0717,7,28-Jul-2018,20,23-Jul-2018 17:00,False,direct
V0806,2,28-Jul-2018,20,26-Jul-2018 19:00,False,direct
V0806,2,28-Jul-2018,20,25-Jul-2018 08:00,False,direct
V0061,2,28-Jul-2018,21,28-Jul-2018 20:00,False,direct
V0294,2,28-Jul-2018,22,25-Jul-2018 18:00,False,direct
V0738,6,28-Jul-2018,22,27-Jul-2018 11:00,False,direct
V0055,2,29-Jul-2018,11,29-Jul-2018 11:00,False,direct
V0331,3,29-Jul-2018,11,29-Jul-2018 10:00,False,direct
V0350,3,29-Jul-2018,11,27-Jul-2018 19:00,False,direct
V0350,4,29-Jul-2018,11,27-Jul-2018 17:00,False,direct
V0055,4,29-Jul-2018,12,29-Jul-2018 11:00,False,direct
V0337,1,29-Jul-2018,13,27-Jul-2018 14:00,False,direct
V0008,6,29-Jul-2018,14,27-Jul-2018 14:00,False,direct
V0008,8,29-Jul-2018,14,27-Jul-2018 14:00,False,direct
V0098,10,29-Jul-2018,16,25-Jul-2018 19:00,False,direct
V0008,2,29-Jul-2018,17,27-Jul-2018 15:00,False,direct
V0008,24,29-Jul-2018,17,27-Jul-2018 14:00,False,direct
V0008,4,29-Jul-2018,17,27-Jul-2018 15:00,False,direct
V0008,14,29-Jul-2018,17,27-Jul-2018 15:00,False,direct
V0008,4,29-Jul-2018,17,27-Jul-2018 15:00,False,direct
V0180,4,29-Jul-2018,17,28-Jul-2018 16:00,False,direct
V0180,6,29-Jul-2018,17,26-Jul-2018 17:00,False,direct
V0180,9,29-Jul-2018,17,25-Jul-2018 19:00,False,direct
V0180,2,29-Jul-2018,17,28-Jul-2018 18:00,False,direct
V0180,3,29-Jul-2018,17,28-Jul-2018 16:00,False,direct
V0254,9,29-Jul-2018,17,29-Jul-2018 15:00,False,direct
V0381,13,29-Jul-2018,17,29-Jul-2018 17:00,False,direct
V0381,19,29-Jul-2018,17,29-Jul-2018 17:00,False,direct
V0744,5,29-Jul-2018,17,26-Jul-2018 17:00,False,direct
V0146,8,29-Jul-2018,18,25-Jul-2018 19:00,False,direct
V0146,2,29-Jul-2018,18,29-Jul-2018 18:00,False,direct
V0154,2,29-Jul-2018,18,29-Jul-2018 13:00,False,direct
V0254,4,29-Jul-2018,18,27-Jul-2018 22:00,False,direct
V0298,5,29-Jul-2018,18,28-Jul-2018 17:00,False,direct
V0331,12,29-Jul-2018,18,29-Jul-2018 10:00,False,direct
V0331,4,29-Jul-2018,18,29-Jul-2018 10:00,True,direct
