venue_code,cuisine_type,location_label,district_code,seating_capacity
V0043,Category-07,Region-028,D754,30
V0391,Category-07,Region-028,D214,91
V0826,Category-07,Region-028,D125,76
V0528,Category-07,Region-028,D859,96
V0413,Category-07,Region-063,D381,99
V0500,Category-07,Region-063,D350,33
V0789,Category-07,Region-063,D328,21
V0342,Category-07,Region-063,D242,111
V0032,Category-07,Region-063,D854,42
V0131,Category-07,Region-063,D204,40
V0002,Category-07,Region-063,D792,34
V0326,Category-07,Region-063,D858,62
V0780,Category-07,Region-063,D658,18
V0692,Category-07,Region-063,D189,47
V0748,Category-07,Region-063,D704,97
V0234,Category-07,Region-063,D532,114
V0118,Category-07,Region-063,D132,59
V0208,Category-07,Region-001,D130,52
V0304,Category-07,Region-001,D195,17
V0476,Category-07,Region-001,D323,26
V0467,Category-07,Region-001,D338,70
V0343,Category-07,Region-001,D617,89
V0303,Category-07,Region-001,D716,96
V0549,Category-07,Region-001,D127,84
V0802,Category-07,Region-001,D674,113
V0725,Category-07,Region-001,D303,16
V0621,Category-07,Region-071,D833,89
V0530,Category-07,Region-071,D765,118
V0244,Category-07,Region-071,D818,76
V0039,Category-07,Region-071,D658,69
V0153,Category-07,Region-102,D529,49
V0363,Category-07,Region-102,D325,52
V0818,Category-07,Region-075,D559,57
V0803,Category-07,Region-075,D703,77
V0689,Category-07,Region-075,D384,66
V0751,Category-07,Region-075,D928,75
V0400,Category-07,Region-075,D990,20
V0589,Category-07,Region-075,D106,74
V0325,Category-07,Region-075,D877,110
V0471,Category-07,Region-075,D925,10
V0806,Category-07,Region-075,D263,95
V0314,Category-07,Region-080,D814,21
V0302,Category-07,Region-080,D532,70
V0448,Category-07,Region-016,D448,47
V0026,Category-07,Region-016,D384,77
V0519,Category-07,Region-046,D259,103
V0454,Category-07,Region-046,D320,46
V0727,Category-07,Region-046,D881,84
V0759,Category-07,Region-046,D444,72
V0491,Category-07,Region-078,D204,78
V0672,Category-07,Region-078,D194,63
V0193,Category-07,Region-078,D489,31
V0626,Category-07,Region-078,D199,16
V0022,Category-07,Region-078,D467,15
V0347,Category-07,Region-078,D967,38
V0124,Category-07,Region-059,D452,106
V0145,Category-07,Region-059,D718,13
V0217,Category-07,Region-059,D370,32
V0513,Category-07,Region-059,D926,13
V0682,Category-07,Region-095,D144,39
V0092,Category-07,Region-095,D847,77
V0338,Category-07,Region-081,D570,37
V0451,Category-07,Region-081,D649,63
V0219,Category-07,Region-081,D227,77
V0516,Category-07,Region-002,D487,98
V0256,Category-07,Region-002,D180,26
V0337,Category-07,Region-038,D665,63
V0350,Category-07,Region-038,D400,85
V0132,Category-07,Region-024,D949,101
V0661,Category-07,Region-024,D743,37
V0704,Category-07,Region-061,D733,49
V0486,Category-07,Region-061,D982,112
V0771,Category-07,Region-047,D470,114
V0258,Category-07,Region-047,D691,104
V0367,Category-07,Region-047,D296,92
V0143,Category-07,Region-047,D821,110
V0178,Category-07,Region-047,D171,70
V0702,Category-07,Region-047,D146,77
V0739,Category-07,Region-047,D777,66
V0462,Category-07,Region-047,D333,59
V0056,Category-07,Region-047,D891,83
V0029,Category-07,Region-047,D396,87
V0199,Category-07,Region-027,D181,95
V0310,Category-07,Region-027,D975,99
V0411,Category-07,Region-045,D338,119
V0543,Category-07,Region-045,D987,74
V0652,Category-07,Region-045,D203,69
V0001,Category-07,Region-045,D489,108
V0690,Category-07,Region-098,D384,72
V0151,Category-07,Region-098,D564,93
V0194,Category-07,Region-098,D750,67
V0192,Category-07,Region-098,D954,25
V0173,Category-07,Region-098,D473,38
V0606,Category-07,Region-098,D266,89
V0122,Category-07,Region-098,D479,111
V0159,Category-07,Region-091,D463,23
V0240,Category-07,Region-091,D314,83
V0700,Category-07,Region-031,D786,60
V0762,Category-07,Region-031,D373,46
V0055,Category-07,Region-031,D818,89
V0623,Category-07,Region-060,D799,13
V0811,Category-07,Region-060,D763,93
V0821,Category-05,Region-028,D173,98
V0160,Category-05,Region-028,D723,63
V0177,Category-05,Region-028,D750,47
V0668,Category-05,Region-028,D275,86
V0505,Category-05,Region-063,D646,26
V0137,Category-05,Region-063,D846,24
V0313,Category-05,Region-063,D350,49
V0431,Category-05,Region-063,D267,111
V0340,Category-05,Region-063,D573,101
V0424,Category-05,Region-063,D488,102
V0604,Category-05,Region-063,D376,115
V0641,Category-05,Region-063,D755,34
V0823,Category-05,Region-001,D804,23
V0455,Category-05,Region-001,D670,76
V0080,Category-05,Region-001,D324,105
V0105,Category-05,Region-001,D801,91
V0012,Category-05,Region-001,D432,12
V0730,Category-05,Region-071,D963,48
V0324,Category-05,Region-071,D886,69
V0166,Category-05,Region-071,D894,112
V0396,Category-05,Region-071,D157,52
V0397,Category-05,Region-019,D334,101
V0439,Category-05,Region-019,D941,36
V0713,Category-05,Region-019,D132,39
V0644,Category-05,Region-041,D924,102
V0349,Category-05,Region-041,D423,102
V0512,Category-05,Region-102,D510,89
V0720,Category-05,Region-102,D374,14
V0408,Category-05,Region-102,D167,40
V0715,Category-05,Region-102,D316,109
V0676,Category-05,Region-102,D680,115
V0643,Category-05,Region-102,D997,21
V0063,Category-05,Region-102,D835,29
V0817,Category-05,Region-075,D422,89
V0698,Category-05,Region-075,D317,119
V0356,Category-05,Region-075,D771,46
V0736,Category-05,Region-075,D611,42
V0524,Category-05,Region-075,D505,95
V0211,Category-05,Region-075,D758,107
V0674,Category-05,Region-075,D569,113
V0558,Category-05,Region-075,D246,19
V0490,Category-05,Region-075,D371,111
V0624,Category-05,Region-080,D242,98
V0721,Category-05,Region-080,D352,54
V0749,Category-05,Region-016,D862,78
V0591,Category-05,Region-016,D674,80
V0569,Category-05,Region-078,D651,114
V0201,Category-05,Region-078,D369,102
V0101,Category-05,Region-078,D864,52
V0681,Category-05,Region-078,D698,118
V0819,Category-05,Region-078,D538,94
V0058,Category-05,Region-078,D697,80
V0079,Category-05,Region-078,D508,36
V0812,Category-05,Region-078,D470,30
V0531,Category-05,Region-078,D324,117
V0204,Category-05,Region-059,D241,117
V0301,Category-05,Region-059,D621,109
V0574,Category-05,Region-059,D605,75
V0499,Category-05,Region-059,D193,19
V0617,Category-05,Region-059,D873,104
V0019,Category-05,Region-059,D148,16
V0271,Category-05,Region-059,D981,21
V0712,Category-05,Region-101,D212,54
V0146,Category-05,Region-101,D256,32
V0421,Category-05,Region-101,D742,94
V0068,Category-05,Region-081,D263,104
V0024,Category-05,Region-081,D911,42
V0215,Category-05,Region-081,D796,105
V0616,Category-05,Region-038,D532,118
V0087,Category-05,Region-038,D710,20
V0533,Category-05,Region-038,D165,111
V0502,Category-05,Region-013,D494,77
V0429,Category-05,Region-013,D490,37
V0795,Category-05,Region-013,D710,83
V0464,Category-05,Region-033,D579,63
V0523,Category-05,Region-033,D641,55
V0164,Category-05,Region-033,D357,110
V0779,Category-05,Region-057,D666,70
V0095,Category-05,Region-057,D981,107
V0798,Category-05,Region-057,D111,26
V0261,Category-05,Region-057,D796,97
V0608,Category-05,Region-061,D838,119
V0059,Category-05,Region-061,D217,34
V0158,Category-05,Region-065,D798,112
V0433,Category-05,Region-065,D649,11
V0272,Category-05,Region-045,D868,57
V0394,Category-05,Region-045,D373,54
V0663,Category-05,Region-067,D887,98
V0414,Category-05,Region-067,D756,83
V0579,Category-05,Region-012,D448,105
V0567,Category-05,Region-012,D214,90
V0033,Category-05,Region-087,D400,104
V0047,Category-05,Region-087,D545,71
V0777,Category-05,Region-077,D261,40
V0053,Category-05,Region-077,D564,31
V0170,Category-05,Region-077,D103,16
V0004,Category-05,Region-099,D839,82
V0231,Category-05,Region-099,D996,49
V0636,Category-05,Region-089,D836,83
V0169,Category-05,Region-089,D369,40
V0610,Category-05,Region-068,D612,59
V0592,Category-05,Region-068,D880,55
V0161,Category-05,Region-022,D282,14
